,nb_eurnok,nb_usdnok,nb_i44,nb_polrate,nb_nowa,nb_govt_3y,nb_govt_5y,nb_govt_10y,ssb_kpi_yoy,ssb_kpijae_yoy,ssb_unemp,ecb_dfr,rb_polrate
2000-01-03,8.062,7.9901,100.32,5.5,,,,,,,,,3.25
2000-01-04,8.15,7.9088,100.68,5.5,,,,,,,,,3.25
2000-01-05,8.206,7.9147,101.05,5.5,,,,,,,,,3.25
2000-01-06,8.203,7.8966,100.96,5.5,,,,,,,,,
2000-01-07,8.1945,7.9682,101.16,5.5,,,,,,,,,3.25
2000-01-10,8.19,8.0066,101.2,5.5,,,,,,,,,3.25
2000-01-11,8.2075,8.0026,101.19,5.5,,,,,,,,,3.25
2000-01-12,8.216,7.9705,101.17,5.5,,,,,,,,,3.25
2000-01-13,8.1795,7.9598,100.88,5.5,,,,,,,,,3.25
2000-01-14,8.1365,7.9575,100.67,5.5,,,,,,,,,3.25
2000-01-17,8.0965,8.0211,100.67,5.5,,,,,,,,,3.25
2000-01-18,8.1065,8.0318,100.73,5.5,,,,,,,,,3.25
2000-01-19,8.0755,7.9916,100.3,5.5,,,,,,,,,3.25
2000-01-20,8.0865,8.0152,100.56,5.5,,,,,,,,,3.25
2000-01-21,8.077,7.9994,100.53,5.5,,,,,,,,,3.25
2000-01-24,8.0455,8.0238,100.42,5.5,,,,,,,,,3.25
2000-01-25,8.0415,8.0351,100.44,5.5,,,,,,,,,3.25
2000-01-26,8.069,8.0537,100.69,5.5,,,,,,,,,3.25
2000-01-27,8.0815,8.1009,101.01,5.5,,,,,,,,,3.25
2000-01-28,8.044,8.1682,100.96,5.5,,,,,,,,,3.25
2000-01-31,8.0825,8.255,101.35,5.5,,,,,2.9,,,,3.25
2000-02-01,8.073,8.3141,101.39,5.5,,,,,,,,,3.25
2000-02-02,8.0175,8.251,100.74,5.5,,,,,,,,,3.25
2000-02-03,8.0475,8.2555,101.03,5.5,,,,,,,,,3.25
2000-02-04,8.083,8.2186,101.17,5.5,,,,,,,,2.25,3.25
2000-02-07,8.059,8.2513,101.05,5.5,,,,,,,,,3.25
2000-02-08,8.072,8.1511,100.79,5.5,,,,,,,,,3.25
2000-02-09,8.0825,8.1362,100.9,5.5,,,,,,,,,3.75
2000-02-10,8.0695,8.1774,101.0,5.5,,,,,,,,,3.75
2000-02-11,8.0395,8.2027,100.78,5.5,,,,,,,,,3.75
2000-02-14,8.0795,8.1884,101.02,5.5,,,,,,,,,3.75
2000-02-15,8.0685,8.2517,101.1,5.5,,,,,,,,,3.75
2000-02-16,8.1125,8.2747,101.47,5.5,,,,,,,,,3.75
2000-02-17,8.1565,8.2231,101.63,5.5,,,,,,,,,3.75
2000-02-18,8.1455,8.2637,101.71,5.5,,,,,,,,,3.75
2000-02-21,8.17,8.2885,101.78,5.5,,,,,,,,,3.75
2000-02-22,8.1915,8.1735,101.54,5.5,,,,,,,,,3.75
2000-02-23,8.1955,8.1401,101.47,5.5,,,,,,,,,3.75
2000-02-24,8.1475,8.2315,101.49,5.5,,,,,,,,,3.75
2000-02-25,8.1275,8.2824,101.63,5.5,,,,,,,,,3.75
2000-02-28,8.0625,8.3645,101.61,5.5,,,,,,,,,3.75
2000-02-29,8.0805,8.3184,101.53,5.5,,,,,3.2,,,,3.75
2000-03-01,8.0825,8.3609,101.73,5.5,,,,,,,,,3.75
2000-03-02,8.07,8.2982,101.5,5.5,,,,,,,,,3.75
2000-03-03,8.084,8.3694,101.76,5.5,,,,,,,,,3.75
2000-03-06,8.0765,8.3781,101.85,5.5,,,,,,,,,3.75
2000-03-07,8.084,8.427,102.1,5.5,,,,,,,,,3.75
2000-03-08,8.085,8.4722,102.31,5.5,,,,,,,,,3.75
2000-03-09,8.1175,8.4417,102.46,5.5,,,,,,,,,3.75
2000-03-10,8.0995,8.4256,102.23,5.5,,,,,,,,,3.75
2000-03-13,8.1205,8.3579,102.3,5.5,,,,,,,,,3.75
2000-03-14,8.121,8.4418,102.61,5.5,,,,,,,,,3.75
2000-03-15,8.14,8.4379,102.68,5.5,,,,,,,,,3.75
2000-03-16,8.1585,8.443,102.82,5.5,,,,,,,,,3.75
2000-03-17,8.154,8.4305,102.74,5.5,,,,,,,,2.5,3.75
2000-03-20,8.1705,8.4102,102.7,5.5,,,,,,,,,3.75
2000-03-21,8.166,8.4177,102.84,5.5,,,,,,,,,3.75
2000-03-22,8.1475,8.4843,102.9,5.5,,,,,,,,,3.75
2000-03-23,8.106,8.3948,102.29,5.5,,,,,,,,,3.75
2000-03-24,8.13,8.3685,102.46,5.5,,,,,,,,,3.75
2000-03-27,8.127,8.368,102.58,5.5,,,,,,,,,3.75
2000-03-28,8.081,8.3767,102.35,5.5,,,,,,,,,3.75
2000-03-29,8.0625,8.4265,102.52,5.5,,,,,,,,,3.75
2000-03-30,8.0815,8.4579,102.8,5.5,,,,,,,,,3.75
