column	kind	dtype	value_hash16
AUS_10Y	raw	float64	7dc1c15fe59ff3c5
AUS_15Y	raw	float64	dc06d70756c5f638
AUS_1Y	raw	float64	0d1b2e853c9580e2
AUS_30Y	raw	float64	32e57df97e26477e
AUS_5Y	raw	float64	348f85fb45e47995
AUS_ibor_chg_1d	derived	float64	8da46d99f19d1943
AUS_ibor_level	derived	float64	bdf94e802e69f4f9
AUS_ibor_mom_1m	derived	float64	0e4bc8d7523a4739
AUS_ibor_term_slope	derived	float64	cf2a9c545f7d0bb1
BBSW3M Index  (L1)	raw	float64	bdf94e802e69f4f9
BISTTREF Index  (L2)	raw	float64	72ccfea12ad09684
BRAZ_1M	raw	float64	4bb5e5d97bc1e6b3
BRAZ_1Y	raw	float64	a258cbb5e282cb26
BRAZ_3M	raw	float64	0c957b7c3225b4c4
BRAZ_6M	raw	float64	583545e7f91d2cb3
BRAZ_ibor_chg_1d	derived	float64	b708b18b42bcbe99
BRAZ_ibor_level	derived	float64	73b227b579d4d6d1
BRAZ_ibor_mom_1m	derived	float64	24aee66e8e963a91
BRAZ_ibor_term_slope	derived	float64	cf2a9c545f7d0bb1
BZDIOVRA Index  (R2)	raw	float64	73b227b579d4d6d1
C01 Comdty  (R4)	raw	float64	77d0e03ae3d8664f
CAN_10Y	raw	float64	353122c44a9b8270
CAN_15Y	raw	float64	97412229452c0666
CAN_1M	raw	float64	7679ede07f6a59b0
CAN_1W	raw	float64	7293c82eff358e31
CAN_1Y	raw	float64	cf92f038d918c8c6
CAN_30Y	raw	float64	e9d58ff969f50b28
CAN_3M	raw	float64	64344e25fccd12c2
CAN_5Y	raw	float64	f2aba536402e7a7c
CAN_6M	raw	float64	3799c964bea96f25
CAN_ibor_chg_1d	derived	float64	50da574ff417e1e4
CAN_ibor_level	derived	float64	aede7faa924ecc3a
CAN_ibor_mom_1m	derived	float64	4b2105a7842b1c40
CAN_ibor_term_slope	derived	float64	cf2a9c545f7d0bb1
CAONREPO Index  (L1)	raw	float64	aede7faa924ecc3a
CHIN_10Y	raw	float64	727fa36cdbe9a011
CHIN_1M	raw	float64	2d6fc905ab0b0f30
CHIN_1Y	raw	float64	0f3e8751356a8520
CHIN_3M	raw	float64	1547416a17fbef23
CHIN_5Y	raw	float64	e3c7cdb0dc26e7f4
CHIN_6M	raw	float64	03c108ee3427b137
CHIN_ibor_chg_1d	derived	float64	6f65ed12ca8f3476
CHIN_ibor_level	derived	float64	41d5d31b9c0604b2
CHIN_ibor_mom_1m	derived	float64	19d7d39654d5c209
CHIN_ibor_term_slope	derived	float64	cf2a9c545f7d0bb1
