security,horizon,fold,regime,scheme,feature,importance_type,value,bucket
NOR_10Y,63,Block_GFC,GFC,block_cv,chg_lag1,PredictionValuesChange,0.0,momentum
NOR_10Y,63,Block_GFC,GFC,block_cv,chg_lag2,PredictionValuesChange,0.0,momentum
NOR_10Y,63,Block_GFC,GFC,block_cv,chg_lag3,PredictionValuesChange,0.0,momentum
NOR_10Y,63,Block_GFC,GFC,block_cv,chg_lag4,PredictionValuesChange,0.0,momentum
NOR_10Y,63,Block_GFC,GFC,block_cv,chg_lag5,PredictionValuesChange,0.0,momentum
NOR_10Y,63,Block_GFC,GFC,block_cv,carry_roll,PredictionValuesChange,2.5906794063023835,carry_roll
NOR_10Y,63,Block_GFC,GFC,block_cv,mom_63d,PredictionValuesChange,0.0,momentum
NOR_10Y,63,Block_GFC,GFC,block_cv,mom_1m,PredictionValuesChange,0.0,momentum
NOR_10Y,63,Block_GFC,GFC,block_cv,mom_3m,PredictionValuesChange,0.0,momentum
NOR_10Y,63,Block_GFC,GFC,block_cv,mom_6m,PredictionValuesChange,0.0,momentum
NOR_10Y,63,Block_GFC,GFC,block_cv,mom_12m,PredictionValuesChange,0.0,momentum
NOR_10Y,63,Block_GFC,GFC,block_cv,dev_ma_3m,PredictionValuesChange,0.0,curve
NOR_10Y,63,Block_GFC,GFC,block_cv,dev_ma_12m,PredictionValuesChange,2.259962229172353,curve
NOR_10Y,63,Block_GFC,GFC,block_cv,vol_20d,PredictionValuesChange,0.0,vol
NOR_10Y,63,Block_GFC,GFC,block_cv,vol_regime,PredictionValuesChange,0.0,vol
NOR_10Y,63,Block_GFC,GFC,block_cv,vol_zscore,PredictionValuesChange,0.0,vol
NOR_10Y,63,Block_GFC,GFC,block_cv,level_zscore,PredictionValuesChange,0.0,curve
NOR_10Y,63,Block_GFC,GFC,block_cv,slope_10_1,PredictionValuesChange,0.0,curve
NOR_10Y,63,Block_GFC,GFC,block_cv,slope_10_5,PredictionValuesChange,3.1109821559675366,curve
NOR_10Y,63,Block_GFC,GFC,block_cv,slope_5_1,PredictionValuesChange,2.802602166312583,curve
NOR_10Y,63,Block_GFC,GFC,block_cv,sofr_mom_1m,PredictionValuesChange,0.0,macro
NOR_10Y,63,Block_GFC,GFC,block_cv,ibor_level,PredictionValuesChange,0.0,macro
NOR_10Y,63,Block_GFC,GFC,block_cv,ibor_chg_1d,PredictionValuesChange,0.0,macro
NOR_10Y,63,Block_GFC,GFC,block_cv,ibor_mom_1m,PredictionValuesChange,0.0,macro
NOR_10Y,63,Block_GFC,GFC,block_cv,ibor_term_slope,PredictionValuesChange,0.0,macro
NOR_10Y,63,Block_GFC,GFC,block_cv,swap_ibor_basis,PredictionValuesChange,2.7217229072285702,curve
NOR_10Y,63,Block_GFC,GFC,block_cv,move_level,PredictionValuesChange,0.0,vol
NOR_10Y,63,Block_GFC,GFC,block_cv,move_zscore,PredictionValuesChange,0.0,vol
NOR_10Y,63,Block_GFC,GFC,block_cv,vix_level,PredictionValuesChange,0.0,vol
NOR_10Y,63,Block_GFC,GFC,block_cv,vix_zscore,PredictionValuesChange,0.0,vol
NOR_10Y,63,Block_GFC,GFC,block_cv,v2x_level,PredictionValuesChange,0.0,vol
NOR_10Y,63,Block_GFC,GFC,block_cv,vxn_level,PredictionValuesChange,0.0,vol
NOR_10Y,63,Block_GFC,GFC,block_cv,ovx_level,PredictionValuesChange,0.0,vol
NOR_10Y,63,Block_GFC,GFC,block_cv,gvz_level,PredictionValuesChange,0.0,vol
NOR_10Y,63,Block_GFC,GFC,block_cv,spx_mom_1m,PredictionValuesChange,0.0,macro
NOR_10Y,63,Block_GFC,GFC,block_cv,spx_mom_3m,PredictionValuesChange,2.1913267390543036,macro
NOR_10Y,63,Block_GFC,GFC,block_cv,sx5e_mom_1m,PredictionValuesChange,0.0,macro
NOR_10Y,63,Block_GFC,GFC,block_cv,sx5e_mom_3m,PredictionValuesChange,2.2849956353744605,macro
