security,horizon,fold,scheme,bucket,shap_share_pct
NOR_10Y,63,GFC,walk_forward,curve,8.77797802680677
NOR_10Y,63,GFC,walk_forward,momentum,2.408097349627898
NOR_10Y,63,GFC,walk_forward,vol,31.22314854207559
NOR_10Y,63,GFC,walk_forward,macro,24.992499570120483
NOR_10Y,63,GFC,walk_forward,credit,0.0
NOR_10Y,63,GFC,walk_forward,cross_market,2.7560459466905742
NOR_10Y,63,GFC,walk_forward,norway,26.199620363419083
NOR_10Y,63,GFC,walk_forward,carry_roll,3.6426102012596098
NOR_10Y,63,ZIRP_early,walk_forward,curve,13.951398907458174
NOR_10Y,63,ZIRP_early,walk_forward,momentum,4.379942305963163
NOR_10Y,63,ZIRP_early,walk_forward,vol,9.043622785220597
NOR_10Y,63,ZIRP_early,walk_forward,macro,41.2382877777548
NOR_10Y,63,ZIRP_early,walk_forward,credit,0.0
NOR_10Y,63,ZIRP_early,walk_forward,cross_market,1.7294798620965168
NOR_10Y,63,ZIRP_early,walk_forward,norway,26.598084303021633
NOR_10Y,63,ZIRP_early,walk_forward,carry_roll,3.05918405848513
NOR_10Y,63,ZIRP_late,walk_forward,curve,24.25214594862134
NOR_10Y,63,ZIRP_late,walk_forward,momentum,6.367581209041145
NOR_10Y,63,ZIRP_late,walk_forward,vol,8.87062676199999
NOR_10Y,63,ZIRP_late,walk_forward,macro,39.32961782587162
NOR_10Y,63,ZIRP_late,walk_forward,credit,0.0
NOR_10Y,63,ZIRP_late,walk_forward,cross_market,0.0
NOR_10Y,63,ZIRP_late,walk_forward,norway,18.63244461861599
NOR_10Y,63,ZIRP_late,walk_forward,carry_roll,2.547583635849917
NOR_10Y,63,COVID,walk_forward,curve,14.492558117605679
NOR_10Y,63,COVID,walk_forward,momentum,0.0
NOR_10Y,63,COVID,walk_forward,vol,0.0
NOR_10Y,63,COVID,walk_forward,macro,41.57232461192413
NOR_10Y,63,COVID,walk_forward,credit,0.0
NOR_10Y,63,COVID,walk_forward,cross_market,0.0
NOR_10Y,63,COVID,walk_forward,norway,43.935117270470194
NOR_10Y,63,COVID,walk_forward,carry_roll,0.0
NOR_10Y,63,Hiking,walk_forward,curve,3.6836101848822667
NOR_10Y,63,Hiking,walk_forward,momentum,0.0
NOR_10Y,63,Hiking,walk_forward,vol,0.0
NOR_10Y,63,Hiking,walk_forward,macro,31.31213259162882
NOR_10Y,63,Hiking,walk_forward,credit,0.0
NOR_10Y,63,Hiking,walk_forward,cross_market,0.0
NOR_10Y,63,Hiking,walk_forward,norway,65.0042572234889
NOR_10Y,63,Hiking,walk_forward,carry_roll,0.0
