learning_rate,depth,cat_mvs_fraction,rsm,l2_leaf_reg,min_data_in_leaf,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.01,4,0.8,0.8,1.0,1,0.02097417520128443,68,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,0.8,1.0,5,0.02097417520128443,68,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,0.8,5.0,1,0.02164166192320342,66,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,0.8,5.0,5,0.02164166192320342,66,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,0.8,10.0,1,0.02192628409670124,66,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,0.8,10.0,5,0.02192628409670124,66,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,1.0,1.0,1,0.02208275770206324,68,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,1.0,1.0,5,0.02208275770206324,68,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,1.0,5.0,1,0.02235326535092001,68,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,1.0,5.0,5,0.02235326535092001,68,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,1.0,10.0,1,0.022258191315801906,55,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,1.0,10.0,5,0.022258191315801906,55,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,0.8,1.0,1,0.02112980970968209,81,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,0.8,1.0,5,0.02112980970968209,81,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,0.8,5.0,1,0.02166235120178978,81,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,0.8,5.0,5,0.02166235120178978,81,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,0.8,10.0,1,0.022034917078990853,53,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,0.8,10.0,5,0.022034917078990853,53,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,1.0,1.0,1,0.022520844898961993,53,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,1.0,1.0,5,0.022520844898961993,53,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,1.0,5.0,1,0.022212211507733573,53,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,1.0,5.0,5,0.022212211507733573,53,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,1.0,10.0,1,0.022461178730371262,54,False,NOR_10Y,63,GFC,GFC,walk_forward
