security,horizon,fold,regime,scheme,feature,importance_type,value,bucket
NOR_10Y,126,GFC,GFC,walk_forward,chg_lag1,PredictionValuesChange,0.0,momentum
NOR_10Y,126,GFC,GFC,walk_forward,chg_lag2,PredictionValuesChange,0.0,momentum
NOR_10Y,126,GFC,GFC,walk_forward,chg_lag3,PredictionValuesChange,0.0,momentum
NOR_10Y,126,GFC,GFC,walk_forward,chg_lag4,PredictionValuesChange,0.0,momentum
NOR_10Y,126,GFC,GFC,walk_forward,chg_lag5,PredictionValuesChange,0.0,momentum
NOR_10Y,126,GFC,GFC,walk_forward,carry_roll,PredictionValuesChange,0.0,carry_roll
NOR_10Y,126,GFC,GFC,walk_forward,mom_63d,PredictionValuesChange,0.0,momentum
NOR_10Y,126,GFC,GFC,walk_forward,mom_1m,PredictionValuesChange,0.0,momentum
NOR_10Y,126,GFC,GFC,walk_forward,mom_3m,PredictionValuesChange,0.0,momentum
NOR_10Y,126,GFC,GFC,walk_forward,mom_6m,PredictionValuesChange,0.0,momentum
NOR_10Y,126,GFC,GFC,walk_forward,mom_12m,PredictionValuesChange,5.361715987143206,momentum
NOR_10Y,126,GFC,GFC,walk_forward,dev_ma_3m,PredictionValuesChange,0.0,curve
NOR_10Y,126,GFC,GFC,walk_forward,dev_ma_12m,PredictionValuesChange,0.0,curve
NOR_10Y,126,GFC,GFC,walk_forward,vol_20d,PredictionValuesChange,0.0,vol
NOR_10Y,126,GFC,GFC,walk_forward,vol_regime,PredictionValuesChange,0.0,vol
NOR_10Y,126,GFC,GFC,walk_forward,vol_zscore,PredictionValuesChange,0.0,vol
NOR_10Y,126,GFC,GFC,walk_forward,level_zscore,PredictionValuesChange,0.0,curve
NOR_10Y,126,GFC,GFC,walk_forward,slope_10_1,PredictionValuesChange,0.0,curve
NOR_10Y,126,GFC,GFC,walk_forward,slope_10_5,PredictionValuesChange,0.0,curve
NOR_10Y,126,GFC,GFC,walk_forward,slope_5_1,PredictionValuesChange,0.0,curve
NOR_10Y,126,GFC,GFC,walk_forward,sofr_mom_1m,PredictionValuesChange,0.0,macro
NOR_10Y,126,GFC,GFC,walk_forward,ibor_level,PredictionValuesChange,0.0,macro
NOR_10Y,126,GFC,GFC,walk_forward,ibor_chg_1d,PredictionValuesChange,0.0,macro
NOR_10Y,126,GFC,GFC,walk_forward,ibor_mom_1m,PredictionValuesChange,2.287305883497198,macro
NOR_10Y,126,GFC,GFC,walk_forward,ibor_term_slope,PredictionValuesChange,0.0,macro
