model,horizon,scheme,n_cells,mean_ct_r2_oos,n_beat_rw
htboost_t,1,Block,20,-0.0020971311476681454,11
htboost_t,1,LORO,20,-0.0020971311476681454,11
htboost_t,5,Block,20,-0.007192491348637864,4
htboost_t,5,LORO,20,-0.007192491348637864,4
htboost_t,21,Block,20,-0.012164048715402059,9
htboost_t,21,LORO,20,-0.012164048715402059,9
htboost_t,63,Block,20,-0.07636979730763696,4
htboost_t,63,LORO,20,-0.07636979730763696,4
htboost_t,126,Block,20,-0.1230036438347093,4
htboost_t,126,LORO,20,-0.12378066604444675,4
htboost_t,252,Block,20,-0.2771100230353555,1
htboost_t,252,LORO,20,-0.27861702876252914,1
htboost_l2,1,Block,20,-0.0008959468580773903,10
htboost_l2,1,LORO,20,-0.0008959468580773903,10
htboost_l2,5,Block,20,-0.0162970691424724,9
htboost_l2,5,LORO,20,-0.01692590347766001,9
htboost_l2,21,Block,20,-0.008188579840924009,8
htboost_l2,21,LORO,20,-0.008188579840924009,8
htboost_l2,63,Block,20,-0.12708435626502892,2
htboost_l2,63,LORO,20,-0.12708435626502892,2
htboost_l2,126,Block,20,-0.22981189411340064,2
htboost_l2,126,LORO,20,-0.22981189411340064,2
htboost_l2,252,Block,20,-0.6147176865482091,1
htboost_l2,252,LORO,20,-0.6147176865482091,1
xgboost,1,Block,20,-0.05358291971782938,4
xgboost,1,LORO,20,-0.05358291971782938,4
xgboost,5,Block,20,-0.028088447044549648,1
xgboost,5,LORO,20,-0.028088447044549648,1
xgboost,21,Block,20,-0.21752947621005841,4
xgboost,21,LORO,20,-0.21752947621005841,4
xgboost,63,Block,20,-0.1136309339878647,5
xgboost,63,LORO,20,-0.1136309339878647,5
xgboost,126,Block,20,-0.1436975344526971,1
xgboost,126,LORO,20,-0.1436975344526971,1
xgboost,252,Block,20,-0.4548093740120242,2
xgboost,252,LORO,20,-0.4548093740120242,2
OLS,1,Block,20,-3.5900172344044883,0
OLS,1,LORO,20,-3.5900172344044883,0
OLS,5,Block,20,-7.366354237669171,0
OLS,5,LORO,20,-7.366354237669171,0
OLS,21,Block,20,-7.201686889576057,0
OLS,21,LORO,20,-7.201686889576057,0
OLS,63,Block,20,-10.762918179405208,0
OLS,63,LORO,20,-10.762918179405208,0
OLS,126,Block,20,-16.346381274936938,0
OLS,126,LORO,20,-16.346381274936938,0
OLS,252,Block,20,-19.950052860208352,2
OLS,252,LORO,20,-19.950052860208352,2
ElasticNet,1,Block,20,-0.020466147710468417,11
ElasticNet,1,LORO,20,-0.020466147710468417,11
ElasticNet,5,Block,20,-0.0018692666013232218,3
ElasticNet,5,LORO,20,-0.0018692666013232218,3
ElasticNet,21,Block,20,-0.023767221163259855,7
ElasticNet,21,LORO,20,-0.023767221163259855,7
ElasticNet,63,Block,20,-0.05589438469466421,2
ElasticNet,63,LORO,20,-0.05589438469466421,2
ElasticNet,126,Block,20,-0.18901943622386116,0
ElasticNet,126,LORO,20,-0.18901943622386116,0
ElasticNet,252,Block,20,-0.4152025371027957,0
ElasticNet,252,LORO,20,-0.4152025371027957,0
momentum,1,Block,0,,0
momentum,1,LORO,0,,0
momentum,5,Block,0,,0
momentum,5,LORO,0,,0
momentum,21,Block,0,,0
momentum,21,LORO,0,,0
momentum,63,Block,0,,0
momentum,63,LORO,0,,0
momentum,126,Block,0,,0
momentum,126,LORO,0,,0
momentum,252,Block,0,,0
momentum,252,LORO,0,,0
mean_reversion,1,Block,0,,0
mean_reversion,1,LORO,0,,0
mean_reversion,5,Block,0,,0
mean_reversion,5,LORO,0,,0
mean_reversion,21,Block,0,,0
mean_reversion,21,LORO,0,,0
mean_reversion,63,Block,0,,0
mean_reversion,63,LORO,0,,0
mean_reversion,126,Block,0,,0
mean_reversion,126,LORO,0,,0
mean_reversion,252,Block,0,,0
mean_reversion,252,LORO,0,,0
