model,horizon,regime,n_cells,status
htboost_t,1,COVID,5,complete
htboost_t,1,GFC,5,complete
htboost_t,1,Hiking,5,complete
htboost_t,1,ZIRP_early,5,complete
htboost_t,1,ZIRP_late,5,complete
htboost_t,5,COVID,5,complete
htboost_t,5,GFC,5,complete
htboost_t,5,Hiking,5,complete
htboost_t,5,ZIRP_early,5,complete
htboost_t,5,ZIRP_late,5,complete
htboost_t,21,COVID,5,complete
htboost_t,21,GFC,5,complete
htboost_t,21,Hiking,5,complete
htboost_t,21,ZIRP_early,5,complete
htboost_t,21,ZIRP_late,5,complete
htboost_t,63,COVID,5,complete
htboost_t,63,GFC,5,complete
htboost_t,63,Hiking,5,complete
htboost_t,63,ZIRP_early,5,complete
htboost_t,63,ZIRP_late,5,complete
htboost_t,126,COVID,5,complete
htboost_t,126,GFC,5,complete
htboost_t,126,Hiking,5,complete
htboost_t,126,ZIRP_early,5,complete
htboost_t,126,ZIRP_late,5,complete
htboost_t,252,COVID,5,partial
htboost_t,252,Hiking,5,partial
htboost_t,252,ZIRP_early,5,partial
htboost_t,252,ZIRP_late,5,partial
htboost_l2,1,COVID,5,complete
htboost_l2,1,GFC,5,complete
htboost_l2,1,Hiking,5,complete
htboost_l2,1,ZIRP_early,5,complete
htboost_l2,1,ZIRP_late,5,complete
htboost_l2,5,COVID,5,complete
htboost_l2,5,GFC,5,complete
htboost_l2,5,Hiking,5,complete
htboost_l2,5,ZIRP_early,5,complete
htboost_l2,5,ZIRP_late,5,complete
htboost_l2,21,COVID,5,complete
htboost_l2,21,GFC,5,complete
htboost_l2,21,Hiking,5,complete
htboost_l2,21,ZIRP_early,5,complete
htboost_l2,21,ZIRP_late,5,complete
htboost_l2,63,COVID,5,complete
htboost_l2,63,GFC,5,complete
htboost_l2,63,Hiking,5,complete
htboost_l2,63,ZIRP_early,5,complete
htboost_l2,63,ZIRP_late,5,complete
htboost_l2,126,COVID,5,complete
htboost_l2,126,GFC,5,complete
htboost_l2,126,Hiking,5,complete
htboost_l2,126,ZIRP_early,5,complete
htboost_l2,126,ZIRP_late,5,complete
htboost_l2,252,COVID,5,partial
htboost_l2,252,Hiking,5,partial
htboost_l2,252,ZIRP_early,5,partial
htboost_l2,252,ZIRP_late,5,partial
xgboost,1,COVID,5,complete
xgboost,1,GFC,5,complete
xgboost,1,Hiking,5,complete
xgboost,1,ZIRP_early,5,complete
xgboost,1,ZIRP_late,5,complete
xgboost,5,COVID,5,complete
xgboost,5,GFC,5,complete
xgboost,5,Hiking,5,complete
xgboost,5,ZIRP_early,5,complete
xgboost,5,ZIRP_late,5,complete
xgboost,21,COVID,5,complete
xgboost,21,GFC,5,complete
xgboost,21,Hiking,5,complete
xgboost,21,ZIRP_early,5,complete
xgboost,21,ZIRP_late,5,complete
xgboost,63,COVID,5,complete
xgboost,63,GFC,5,complete
xgboost,63,Hiking,5,complete
xgboost,63,ZIRP_early,5,complete
xgboost,63,ZIRP_late,5,complete
xgboost,126,COVID,5,complete
xgboost,126,GFC,5,complete
xgboost,126,Hiking,5,complete
xgboost,126,ZIRP_early,5,complete
xgboost,126,ZIRP_late,5,complete
xgboost,252,COVID,5,complete
xgboost,252,GFC,5,complete
xgboost,252,Hiking,5,complete
xgboost,252,ZIRP_early,5,complete
xgboost,252,ZIRP_late,5,complete
OLS,1,COVID,5,complete
OLS,1,GFC,5,complete
OLS,1,Hiking,5,complete
OLS,1,ZIRP_early,5,complete
OLS,1,ZIRP_late,5,complete
OLS,5,COVID,5,complete
OLS,5,GFC,5,complete
OLS,5,Hiking,5,complete
OLS,5,ZIRP_early,5,complete
OLS,5,ZIRP_late,5,complete
OLS,21,COVID,5,complete
OLS,21,GFC,5,complete
OLS,21,Hiking,5,complete
OLS,21,ZIRP_early,5,complete
OLS,21,ZIRP_late,5,complete
OLS,63,COVID,5,complete
OLS,63,GFC,5,complete
OLS,63,Hiking,5,complete
OLS,63,ZIRP_early,5,complete
OLS,63,ZIRP_late,5,complete
OLS,126,COVID,5,complete
OLS,126,GFC,5,complete
OLS,126,Hiking,5,complete
OLS,126,ZIRP_early,5,complete
OLS,126,ZIRP_late,5,complete
OLS,252,COVID,5,complete
OLS,252,GFC,5,complete
OLS,252,Hiking,5,complete
OLS,252,ZIRP_early,5,complete
OLS,252,ZIRP_late,5,complete
ElasticNet,1,COVID,5,complete
ElasticNet,1,GFC,5,complete
ElasticNet,1,Hiking,5,complete
ElasticNet,1,ZIRP_early,5,complete
ElasticNet,1,ZIRP_late,5,complete
ElasticNet,5,COVID,5,complete
ElasticNet,5,GFC,5,complete
ElasticNet,5,Hiking,5,complete
ElasticNet,5,ZIRP_early,5,complete
ElasticNet,5,ZIRP_late,5,complete
ElasticNet,21,COVID,5,complete
ElasticNet,21,GFC,5,complete
ElasticNet,21,Hiking,5,complete
ElasticNet,21,ZIRP_early,5,complete
ElasticNet,21,ZIRP_late,5,complete
ElasticNet,63,COVID,5,complete
ElasticNet,63,GFC,5,complete
ElasticNet,63,Hiking,5,complete
ElasticNet,63,ZIRP_early,5,complete
ElasticNet,63,ZIRP_late,5,complete
ElasticNet,126,COVID,5,complete
ElasticNet,126,GFC,5,complete
ElasticNet,126,Hiking,5,complete
ElasticNet,126,ZIRP_early,5,complete
ElasticNet,126,ZIRP_late,5,complete
ElasticNet,252,COVID,5,complete
ElasticNet,252,GFC,5,complete
ElasticNet,252,Hiking,5,complete
ElasticNet,252,ZIRP_early,5,complete
ElasticNet,252,ZIRP_late,5,complete
momentum,1,COVID,5,complete
momentum,1,GFC,5,complete
momentum,1,Hiking,5,complete
momentum,1,ZIRP_early,5,complete
momentum,1,ZIRP_late,5,complete
momentum,5,COVID,5,complete
momentum,5,GFC,5,complete
momentum,5,Hiking,5,complete
momentum,5,ZIRP_early,5,complete
momentum,5,ZIRP_late,5,complete
momentum,21,COVID,5,complete
momentum,21,GFC,5,complete
momentum,21,Hiking,5,complete
momentum,21,ZIRP_early,5,complete
momentum,21,ZIRP_late,5,complete
momentum,63,COVID,5,complete
momentum,63,GFC,5,complete
momentum,63,Hiking,5,complete
momentum,63,ZIRP_early,5,complete
momentum,63,ZIRP_late,5,complete
momentum,126,COVID,5,complete
momentum,126,GFC,5,complete
momentum,126,Hiking,5,complete
momentum,126,ZIRP_early,5,complete
momentum,126,ZIRP_late,5,complete
momentum,252,COVID,5,complete
momentum,252,GFC,5,complete
momentum,252,Hiking,5,complete
momentum,252,ZIRP_early,5,complete
momentum,252,ZIRP_late,5,complete
mean_reversion,1,COVID,5,complete
mean_reversion,1,GFC,5,complete
mean_reversion,1,Hiking,5,complete
mean_reversion,1,ZIRP_early,5,complete
mean_reversion,1,ZIRP_late,5,complete
mean_reversion,5,COVID,5,complete
mean_reversion,5,GFC,5,complete
mean_reversion,5,Hiking,5,complete
mean_reversion,5,ZIRP_early,5,complete
mean_reversion,5,ZIRP_late,5,complete
mean_reversion,21,COVID,5,complete
mean_reversion,21,GFC,5,complete
mean_reversion,21,Hiking,5,complete
mean_reversion,21,ZIRP_early,5,complete
mean_reversion,21,ZIRP_late,5,complete
mean_reversion,63,COVID,5,complete
mean_reversion,63,GFC,5,complete
mean_reversion,63,Hiking,5,complete
mean_reversion,63,ZIRP_early,5,complete
mean_reversion,63,ZIRP_late,5,complete
mean_reversion,126,COVID,5,complete
mean_reversion,126,GFC,5,complete
mean_reversion,126,Hiking,5,complete
mean_reversion,126,ZIRP_early,5,complete
mean_reversion,126,ZIRP_late,5,complete
mean_reversion,252,COVID,5,complete
mean_reversion,252,GFC,5,complete
mean_reversion,252,Hiking,5,complete
mean_reversion,252,ZIRP_early,5,complete
mean_reversion,252,ZIRP_late,5,complete
catboost,1,COVID,5,complete
catboost,1,GFC,5,complete
catboost,1,Hiking,5,complete
catboost,1,ZIRP_early,5,complete
catboost,1,ZIRP_late,5,complete
catboost,5,COVID,5,complete
catboost,5,GFC,5,complete
catboost,5,Hiking,5,complete
catboost,5,ZIRP_early,5,complete
catboost,5,ZIRP_late,5,complete
catboost,21,COVID,5,complete
catboost,21,GFC,5,complete
catboost,21,Hiking,5,complete
catboost,21,ZIRP_early,5,complete
catboost,21,ZIRP_late,5,complete
catboost,63,COVID,5,complete
catboost,63,GFC,5,complete
catboost,63,Hiking,5,complete
catboost,63,ZIRP_early,5,complete
catboost,63,ZIRP_late,5,complete
catboost,126,COVID,5,complete
catboost,126,GFC,5,complete
catboost,126,Hiking,5,complete
catboost,126,ZIRP_early,5,complete
catboost,126,ZIRP_late,5,complete
catboost,252,COVID,5,complete
catboost,252,GFC,5,complete
catboost,252,Hiking,5,complete
catboost,252,ZIRP_early,5,complete
catboost,252,ZIRP_late,5,complete
htboost_pooled,1,GFC,60,partial
htboost_pooled,1,ZIRP_early,60,partial
htboost_pooled,5,(none),0,absent
htboost_pooled,21,(none),0,absent
htboost_pooled,63,(none),0,absent
htboost_pooled,126,(none),0,absent
htboost_pooled,252,(none),0,absent
