pair,model_a,model_b,tenor,horizon,regime,n,dmh_stat,dmh_pval,sig,favours
htboost_t_vs_catboost,htboost_t,catboost,10Y,1,COVID,437,1.3939325523575439,0.16404798116581218,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,1,GFC,520,0.9862385469498423,0.32447561394141855,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,1,Hiking,909,-1.5108303078259986,0.1311796067621002,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,1,ZIRP,1436,-2.6351488036436974,0.00850061317628056,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,10Y,5,COVID,354,-0.6874182262016204,0.49227060602147654,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,5,GFC,385,0.32655539490960334,0.7441820953863969,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,5,Hiking,700,-1.2080528132332242,0.2274354995573757,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,5,ZIRP,1074,0.5911824747283975,0.5545226764122472,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,21,COVID,542,0.10550854196545932,0.9160113997789808,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,21,GFC,637,0.5019791931813824,0.6158558906682144,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,21,Hiking,1111,-3.477617083204857,0.0005254805283074396,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,10Y,21,ZIRP,1790,-1.8202136485183797,0.06889349666441684,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,63,COVID,541,-0.1118118281926389,0.9110141571197045,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,63,GFC,625,1.1822432369734932,0.23755950264237188,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,63,Hiking,1076,1.770605247596161,0.07690972143403106,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,63,ZIRP,1790,1.536631571289909,0.12456038814047254,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,126,COVID,541,-1.1987905349549726,0.23113520825421466,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,126,GFC,625,-1.3268851863227844,0.18503200012726326,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,126,Hiking,1023,-3.1237975860988207,0.0018356005868699046,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,10Y,126,ZIRP,1793,-1.1735261569651556,0.2407408224555423,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,252,COVID,524,1.8030208999137283,0.07196039432484247,False,tie
htboost_t_vs_catboost,htboost_t,catboost,10Y,252,Hiking,933,-2.77621176278657,0.005609844176270234,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,10Y,252,ZIRP,1793,0.5275645480197854,0.5978669150499498,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,1,COVID,418,-0.2407966756398839,0.8098310502341547,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,1,GFC,536,-0.4829401384330856,0.6293357989000561,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,1,Hiking,888,0.012247206099644217,0.9902311416264842,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,1,ZIRP,1451,0.07273170847406801,0.9420296465705846,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,5,COVID,315,0.5764457283209495,0.5647269154490104,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,5,GFC,401,-2.0722367888356295,0.038883544309679434,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,15Y,5,Hiking,662,0.3401364894186722,0.7338618033863158,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,5,ZIRP,1091,-3.40000844731186,0.0006982429337949256,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,15Y,21,COVID,523,-1.5000779818696166,0.13419876470531206,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,21,GFC,650,0.5859020361142246,0.5581450400921768,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,21,Hiking,1092,-3.128853468597994,0.0018014398776034378,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,15Y,21,ZIRP,1810,-3.008057098218003,0.0026655099449762187,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,15Y,63,COVID,523,-0.2697992178728251,0.7874213471021478,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,63,GFC,622,1.2141780973900733,0.22514125019968514,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,63,Hiking,1062,-2.4883139408063757,0.012987568864293635,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,15Y,63,ZIRP,1810,-1.096318626362577,0.2730852836454633,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,126,COVID,523,-1.7363118086915401,0.08309871552024338,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,126,GFC,623,-0.6553972856295991,0.5124543198298792,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,126,Hiking,1017,-1.2681542721525618,0.2050333783594672,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,126,ZIRP,1811,1.8498553853722546,0.06449729718677086,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,252,COVID,523,-0.2505020149937043,0.8022977103135751,False,tie
htboost_t_vs_catboost,htboost_t,catboost,15Y,252,Hiking,927,-5.326734390221322,1.2558833028974623e-07,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,15Y,252,ZIRP,1813,1.31764618665128,0.18778868622986708,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,1,COVID,443,-1.5830968865488708,0.11411461026559756,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,1,GFC,463,-1.3112672470840014,0.1904188070912727,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,1,Hiking,908,-6.132773268072336,1.2877504043641306e-09,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,1Y,1,ZIRP,1451,1.8886271735144207,0.05914124093054883,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,5,COVID,366,-1.2807266935363972,0.20110287925867015,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,5,GFC,344,-3.9022076472011036,0.00011473649638214392,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,1Y,5,Hiking,699,-4.218411702768825,2.784724054098116e-05,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,1Y,5,ZIRP,1089,2.805369609296525,0.005115436514907565,True,catboost
htboost_t_vs_catboost,htboost_t,catboost,1Y,21,COVID,548,-0.7449549063450128,0.45661892616636546,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,21,GFC,561,0.8087563301619287,0.4189987750063835,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,21,Hiking,1109,-4.017366497956598,6.282271240342963e-05,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,1Y,21,ZIRP,1810,2.566020920749576,0.010367155401524386,True,catboost
htboost_t_vs_catboost,htboost_t,catboost,1Y,63,COVID,547,-0.2844761732562178,0.7761533486294201,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,63,GFC,536,-2.1251698489724076,0.03403007577961194,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,1Y,63,Hiking,1074,-3.1090266976936154,0.001926491210301321,True,htboost_t
htboost_t_vs_catboost,htboost_t,catboost,1Y,63,ZIRP,1810,2.4660882949084546,0.013751920931405015,True,catboost
htboost_t_vs_catboost,htboost_t,catboost,1Y,126,COVID,547,-0.2339860694035251,0.8150835005206886,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,126,GFC,514,1.5147788955131773,0.13044427888978777,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,126,Hiking,1021,-1.758907753820796,0.078892996571653,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,126,ZIRP,1812,-0.1829246514919687,0.8548776154987834,False,tie
htboost_t_vs_catboost,htboost_t,catboost,1Y,252,COVID,530,-0.5259377416174194,0.5991518699859524,False,tie
