model,tenor,horizon,regime,binom_pval,reject_bonferroni,reject_bh,mtc_N
htboost_t,10Y,126,GFC,1.7788016065982848e-10,True,True,145
htboost_t,10Y,126,ZIRP_early,6.434539611748782e-38,True,True,145
htboost_t,10Y,126,ZIRP_late,1.3866166071797968e-05,True,True,145
htboost_t,10Y,126,COVID,1.0,False,False,145
htboost_t,10Y,126,Hiking,1.0,False,False,145
htboost_t,15Y,126,GFC,0.012390285195656,False,True,145
htboost_t,15Y,126,ZIRP_early,1.0,False,False,145
htboost_t,15Y,126,ZIRP_late,9.981930040222113e-08,True,True,145
htboost_t,15Y,126,COVID,1.0,False,False,145
htboost_t,15Y,126,Hiking,1.0,False,False,145
htboost_t,1Y,126,GFC,0.995403940016838,False,False,145
htboost_t,1Y,126,ZIRP_early,3.5459845824181254e-14,True,True,145
htboost_t,1Y,126,ZIRP_late,4.953409594878059e-22,True,True,145
htboost_t,1Y,126,COVID,1.0,False,False,145
htboost_t,1Y,126,Hiking,0.99999999612337,False,False,145
htboost_t,30Y,126,GFC,4.9979132545168024e-14,True,True,145
htboost_t,30Y,126,ZIRP_early,1.0,False,False,145
htboost_t,30Y,126,ZIRP_late,5.813739518218265e-09,True,True,145
htboost_t,30Y,126,COVID,0.999999999934394,False,False,145
htboost_t,30Y,126,Hiking,1.0,False,False,145
htboost_t,5Y,126,GFC,0.9832397386127898,False,False,145
htboost_t,5Y,126,ZIRP_early,7.466936513986906e-19,True,True,145
htboost_t,5Y,126,ZIRP_late,0.1685728845333956,False,False,145
htboost_t,5Y,126,COVID,1.0,False,False,145
htboost_t,5Y,126,Hiking,0.9999999999974856,False,False,145
htboost_t,10Y,1,GFC,0.898288495374472,False,False,145
htboost_t,10Y,1,ZIRP_early,0.5419702016926164,False,False,145
htboost_t,10Y,1,ZIRP_late,0.6404532393088862,False,False,145
htboost_t,10Y,1,COVID,0.075588805521678,False,False,145
htboost_t,10Y,1,Hiking,0.2130151739288131,False,False,145
htboost_t,15Y,1,GFC,0.9890115084569876,False,False,145
htboost_t,15Y,1,ZIRP_early,0.9959465995643356,False,False,145
htboost_t,15Y,1,ZIRP_late,0.930436657967174,False,False,145
htboost_t,15Y,1,COVID,0.2953054391629938,False,False,145
htboost_t,15Y,1,Hiking,0.0952939806643546,False,False,145
htboost_t,1Y,1,GFC,0.943008351775506,False,False,145
htboost_t,1Y,1,ZIRP_early,0.4723133631889247,False,False,145
htboost_t,1Y,1,ZIRP_late,0.9999651722234046,False,False,145
htboost_t,1Y,1,COVID,0.1710025802924621,False,False,145
htboost_t,1Y,1,Hiking,0.0029245607982489,False,True,145
htboost_t,30Y,1,GFC,0.9622144195293888,False,False,145
htboost_t,30Y,1,ZIRP_early,0.7477907571811098,False,False,145
htboost_t,30Y,1,ZIRP_late,0.6698869679616366,False,False,145
htboost_t,30Y,1,COVID,0.2315944695142664,False,False,145
htboost_t,30Y,1,Hiking,0.8995300560906127,False,False,145
htboost_t,5Y,1,GFC,0.9228247595211844,False,False,145
htboost_t,5Y,1,ZIRP_early,0.9632854335236176,False,False,145
htboost_t,5Y,1,ZIRP_late,0.9960152275287916,False,False,145
htboost_t,5Y,1,COVID,0.1177343081579216,False,False,145
htboost_t,5Y,1,Hiking,0.5000000000000008,False,False,145
htboost_t,10Y,21,GFC,0.191701282965254,False,False,145
htboost_t,10Y,21,ZIRP_early,6.797426806955292e-05,True,True,145
htboost_t,10Y,21,ZIRP_late,0.5988201705965803,False,False,145
htboost_t,10Y,21,COVID,0.9823909990698269,False,False,145
htboost_t,10Y,21,Hiking,0.9999981479637527,False,False,145
htboost_t,15Y,21,GFC,0.391838689759306,False,False,145
htboost_t,15Y,21,ZIRP_early,1.157588247760564e-09,True,True,145
htboost_t,15Y,21,ZIRP_late,0.2263493713982911,False,False,145
htboost_t,15Y,21,COVID,0.853017524827341,False,False,145
htboost_t,15Y,21,Hiking,0.9999999222246824,False,False,145
htboost_t,1Y,21,GFC,0.0455842042039856,False,False,145
htboost_t,1Y,21,ZIRP_early,4.3027830096703616e-06,True,True,145
htboost_t,1Y,21,ZIRP_late,0.1041727726357736,False,False,145
htboost_t,1Y,21,COVID,5.111888320921383e-06,True,True,145
htboost_t,1Y,21,Hiking,0.6406956632828857,False,False,145
htboost_t,30Y,21,GFC,0.0065755785297983,False,True,145
htboost_t,30Y,21,ZIRP_early,5.666428387843105e-07,True,True,145
htboost_t,30Y,21,ZIRP_late,0.2263493713982911,False,False,145
htboost_t,30Y,21,COVID,0.7297694928892393,False,False,145
htboost_t,30Y,21,Hiking,0.9999999703230228,False,False,145
htboost_t,5Y,21,GFC,0.6957413124105429,False,False,145
htboost_t,5Y,21,ZIRP_early,0.000376212727529,False,True,145
htboost_t,5Y,21,ZIRP_late,0.8138838424896191,False,False,145
htboost_t,5Y,21,COVID,0.9999968113134464,False,False,145
htboost_t,5Y,21,Hiking,0.594832938256598,False,False,145
htboost_t,10Y,252,ZIRP_early,2.0715629475279462e-20,True,True,145
htboost_t,10Y,252,ZIRP_late,3.092225517581408e-26,True,True,145
htboost_t,10Y,252,COVID,1.0,False,False,145
htboost_t,10Y,252,Hiking,1.0,False,False,145
htboost_t,15Y,252,ZIRP_early,4.6836361980373574e-24,True,True,145
htboost_t,15Y,252,ZIRP_late,1.479316152875273e-25,True,True,145
htboost_t,15Y,252,COVID,0.9821371275530064,False,False,145
htboost_t,15Y,252,Hiking,1.0,False,False,145
htboost_t,1Y,252,ZIRP_early,1.757402661462915e-53,True,True,145
htboost_t,1Y,252,ZIRP_late,1.0,False,False,145
htboost_t,1Y,252,COVID,1.0,False,False,145
htboost_t,1Y,252,Hiking,0.1064811690993855,False,False,145
htboost_t,30Y,252,ZIRP_early,6.614201659741648e-31,True,True,145
htboost_t,30Y,252,ZIRP_late,3.2072445149255486e-25,True,True,145
htboost_t,30Y,252,COVID,1.0,False,False,145
htboost_t,30Y,252,Hiking,1.0,False,False,145
htboost_t,5Y,252,ZIRP_early,1.1545321719470199e-28,True,True,145
htboost_t,5Y,252,ZIRP_late,3.413505342404686e-05,True,True,145
htboost_t,5Y,252,COVID,1.0,False,False,145
htboost_t,5Y,252,Hiking,1.0,False,False,145
htboost_t,10Y,5,GFC,0.99601859339739,False,False,145
htboost_t,10Y,5,ZIRP_early,0.1968200933442872,False,False,145
htboost_t,10Y,5,ZIRP_late,0.5551369333231975,False,False,145
htboost_t,10Y,5,COVID,0.7551721483364444,False,False,145
htboost_t,10Y,5,Hiking,0.999993375195538,False,False,145
htboost_t,15Y,5,GFC,0.0360418190133164,False,False,145
htboost_t,15Y,5,ZIRP_early,0.0745781710996326,False,False,145
htboost_t,15Y,5,ZIRP_late,0.2739677790313593,False,False,145
htboost_t,15Y,5,COVID,0.4108661036104376,False,False,145
htboost_t,15Y,5,Hiking,0.999801428148628,False,False,145
htboost_t,1Y,5,GFC,0.6862175480705943,False,False,145
htboost_t,1Y,5,ZIRP_early,0.9254218289003672,False,False,145
htboost_t,1Y,5,ZIRP_late,0.9998245567020492,False,False,145
htboost_t,1Y,5,COVID,4.188734207890653e-05,True,True,145
htboost_t,1Y,5,Hiking,0.0004303660508922,False,True,145
htboost_t,30Y,5,GFC,0.047499925244341,False,False,145
htboost_t,30Y,5,ZIRP_early,0.1460356246235326,False,False,145
htboost_t,30Y,5,ZIRP_late,0.7839992673269822,False,False,145
htboost_t,30Y,5,COVID,0.4108661036104376,False,False,145
htboost_t,30Y,5,Hiking,0.9988415177872316,False,False,145
htboost_t,5Y,5,GFC,0.4253133096266072,False,False,145
htboost_t,5Y,5,ZIRP_early,0.2084713678683393,False,False,145
htboost_t,5Y,5,ZIRP_late,0.7667406967323049,False,False,145
htboost_t,5Y,5,COVID,0.967948914092967,False,False,145
htboost_t,5Y,5,Hiking,0.996379321625145,False,False,145
htboost_t,10Y,63,GFC,0.0273854775692165,False,False,145
htboost_t,10Y,63,ZIRP_early,1.0,False,False,145
htboost_t,10Y,63,ZIRP_late,0.0001129070919185,True,True,145
htboost_t,10Y,63,COVID,0.999991876316326,False,False,145
htboost_t,10Y,63,Hiking,1.0,False,False,145
htboost_t,15Y,63,GFC,0.2477495016199701,False,False,145
htboost_t,15Y,63,ZIRP_early,0.0113757797620313,False,True,145
htboost_t,15Y,63,ZIRP_late,9.342777984682026e-07,True,True,145
htboost_t,15Y,63,COVID,0.9998835854333452,False,False,145
htboost_t,15Y,63,Hiking,1.0,False,False,145
htboost_t,1Y,63,GFC,3.0847050564075373e-07,True,True,145
htboost_t,1Y,63,ZIRP_early,7.637288426171305e-06,True,True,145
htboost_t,1Y,63,ZIRP_late,0.9999999999485272,False,False,145
htboost_t,1Y,63,COVID,2.96062219282538e-10,True,True,145
htboost_t,1Y,63,Hiking,6.719590681326364e-05,True,True,145
htboost_t,30Y,63,GFC,0.048296629595344,False,False,145
htboost_t,30Y,63,ZIRP_early,0.9999999999999998,False,False,145
htboost_t,30Y,63,ZIRP_late,0.3737988738332619,False,False,145
htboost_t,30Y,63,COVID,0.9974574037722616,False,False,145
