horizon,fold,bucket,share
1,COVID,carry_roll,0.0
1,COVID,country,0.0
1,COVID,credit,0.0
1,COVID,cross_market,0.0
1,COVID,curve,0.432179
1,COVID,macro,0.283403
1,COVID,maturity,0.0
1,COVID,momentum,0.226177
1,COVID,norway,0.0
1,COVID,security,0.0
1,COVID,vol,0.05824
1,GFC,carry_roll,0.013149
1,GFC,country,0.0
1,GFC,credit,0.0
1,GFC,cross_market,0.034749
1,GFC,curve,0.332712
1,GFC,macro,0.334865
1,GFC,maturity,0.0
1,GFC,momentum,0.153771
1,GFC,norway,0.021314
1,GFC,security,0.012406
1,GFC,vol,0.097034
1,Hiking,carry_roll,0.0
1,Hiking,country,0.0
1,Hiking,credit,0.0
1,Hiking,cross_market,0.0
1,Hiking,curve,0.562416
1,Hiking,macro,0.237896
1,Hiking,maturity,0.0
1,Hiking,momentum,0.072097
1,Hiking,norway,0.0
1,Hiking,security,0.127592
1,Hiking,vol,0.0
1,ZIRP_early,carry_roll,0.0
1,ZIRP_early,country,0.0
1,ZIRP_early,credit,0.0
1,ZIRP_early,cross_market,0.076572
1,ZIRP_early,curve,0.384405
1,ZIRP_early,macro,0.258092
1,ZIRP_early,maturity,0.0
1,ZIRP_early,momentum,0.182123
1,ZIRP_early,norway,0.0
1,ZIRP_early,security,0.0
1,ZIRP_early,vol,0.098808
1,ZIRP_late,carry_roll,0.00327
1,ZIRP_late,country,0.0
1,ZIRP_late,credit,0.0
1,ZIRP_late,cross_market,0.186348
1,ZIRP_late,curve,0.335779
1,ZIRP_late,macro,0.202995
1,ZIRP_late,maturity,0.0
1,ZIRP_late,momentum,0.173209
1,ZIRP_late,norway,0.0
1,ZIRP_late,security,0.0
1,ZIRP_late,vol,0.098399
5,COVID,carry_roll,0.0
5,COVID,country,0.0
5,COVID,credit,0.0
5,COVID,cross_market,0.0
5,COVID,curve,0.770686
5,COVID,macro,0.069823
5,COVID,maturity,0.0
5,COVID,momentum,0.0
5,COVID,norway,0.0
5,COVID,security,0.0
5,COVID,vol,0.15949
5,GFC,carry_roll,0.036186
5,GFC,country,0.0
5,GFC,credit,0.0
5,GFC,cross_market,0.021516
5,GFC,curve,0.441502
5,GFC,macro,0.093821
5,GFC,maturity,0.0
5,GFC,momentum,0.03723
5,GFC,norway,0.0
5,GFC,security,0.178438
5,GFC,vol,0.191307
5,Hiking,carry_roll,0.0
5,Hiking,country,0.0
5,Hiking,credit,0.0
5,Hiking,cross_market,0.0
5,Hiking,curve,0.0
5,Hiking,macro,1.0
5,Hiking,maturity,0.0
5,Hiking,momentum,0.0
5,Hiking,norway,0.0
5,Hiking,security,0.0
5,Hiking,vol,0.0
5,ZIRP_early,carry_roll,0.015242
5,ZIRP_early,country,0.0
5,ZIRP_early,credit,0.0
5,ZIRP_early,cross_market,0.077915
5,ZIRP_early,curve,0.337198
5,ZIRP_early,macro,0.23467
5,ZIRP_early,maturity,0.0
5,ZIRP_early,momentum,0.093097
5,ZIRP_early,norway,0.0
5,ZIRP_early,security,0.0
5,ZIRP_early,vol,0.241878
5,ZIRP_late,carry_roll,0.0
5,ZIRP_late,country,0.0
5,ZIRP_late,credit,0.0
5,ZIRP_late,cross_market,0.0
5,ZIRP_late,curve,0.486815
5,ZIRP_late,macro,0.0
5,ZIRP_late,maturity,0.0
5,ZIRP_late,momentum,0.0
5,ZIRP_late,norway,0.0
5,ZIRP_late,security,0.0
5,ZIRP_late,vol,0.513185
21,COVID,carry_roll,0.082267
21,COVID,country,0.0
21,COVID,credit,0.0
21,COVID,cross_market,0.0
21,COVID,curve,0.500606
21,COVID,macro,0.250595
21,COVID,maturity,0.0
21,COVID,momentum,0.073522
21,COVID,norway,0.029357
21,COVID,security,0.0
21,COVID,vol,0.063653
21,GFC,carry_roll,0.0
21,GFC,country,0.0
21,GFC,credit,0.0
21,GFC,cross_market,0.0
21,GFC,curve,0.495008
21,GFC,macro,0.504992
21,GFC,maturity,0.0
21,GFC,momentum,0.0
21,GFC,norway,0.0
