validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,notebook,run_ts,model_kind,is_pooled,pca_k,alpha,l1_ratio,n_nonzero
walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,train,2bf248e672cc,108,5,587,0.6797274275979557,1.0,0.35812189349278567,0.0035144909852842555,0.005476128781942082,0.045846531360566926,0.35821615501930204,4.127666747501248,1.832313407046371e-05,2.875042409274955,0.0020932251392890163,9.210063707551093,0.0,9.477281006447873e-19,117,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,oos,2bf248e672cc,108,5,385,0.44415584415584414,1.0,-1.9721706386707325,0.01381606785572164,0.004713267292207792,0.09876765356841571,-1.9313143089854146,-0.315024551057329,0.6236284934159598,-7.319300373803441,0.999999999999264,0.06512363456205246,0.4740377813568707,0.987597022195713,77,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_early,ZIRP,train,2bf248e672cc,108,5,971,0.6148300720906282,1.0,0.23973117735100336,0.0039268458097523155,0.0051717577265705484,0.04801634983860357,0.2407135025723156,5.210719008103817,9.405508760718106e-08,3.4268683012311048,0.00031810985323559043,7.8462123918584785,2.1094237467877974e-15,4.1735977470994584e-13,194,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_early,ZIRP,oos,2bf248e672cc,108,5,606,0.4603960396039604,1.0,-35.778376030430444,0.11062280259753816,0.0030159368151815194,0.2691287965647643,-35.67941650524271,-0.5108625698404745,0.6952763538248411,-10.984245678876244,1.0,-0.36253291551470623,0.6415230845116036,0.976776107568992,121,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_late,ZIRP,train,2bf248e672cc,108,5,1577,0.5941661382371591,1.0,0.16451338193649256,0.003625373735524711,0.004346384567216235,0.045702014287009526,0.16588749121049728,6.201885279893789,2.7895374898889713e-10,3.868124401324201,5.7070823280878984e-05,8.225851689221374,1.1102230246251565e-16,3.844516047614235e-14,315,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_late,ZIRP,oos,2bf248e672cc,108,5,468,0.4722222222222222,1.0,-6.2931889698306005,0.014869985599889318,0.002039000192307692,0.10511087384537993,-6.292782833463013,0.24304933728881745,0.40398358873760964,-10.053895131623054,1.0,0.47661132417058044,0.31681945905479525,0.8940208944856324,94,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_10Y,NOR,10Y,COVID,COVID,train,2bf248e672cc,108,5,2046,0.5865102639296188,1.0,0.13371534260079743,0.003301183349609985,0.003814986829178887,0.0432703124831769,0.13468027612548517,6.242921372180789,2.1473645084313375e-10,3.8048869092931996,7.301816345060304e-05,8.899715731616785,0.0,2.5721720024191404e-15,409,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_10Y,NOR,10Y,COVID,COVID,oos,2bf248e672cc,108,5,354,0.5028248587570622,1.0,-0.5357113245024312,0.006157982902916162,0.004010246101694915,0.06142567659929428,-0.5355623437458152,0.7450349639286656,0.22812529170636475,-3.5770038663477868,0.9998019805602273,0.6354624493819071,0.2625634248766032,0.4788114259716266,71,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_10Y,NOR,10Y,Hiking,Hiking,train,2bf248e672cc,108,5,2398,0.5725604670558799,1.0,0.11720806480287937,0.0033939628307456523,0.0038474025239783162,0.04395731874325448,0.11785605753665596,6.630499935995567,1.672761928972477e-11,4.003191903648387,3.219612201698539e-05,8.165538419043253,1.1102230246251565e-16,6.316324668900647e-13,480,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
walk_forward,level_change,NOR_10Y,NOR,10Y,Hiking,Hiking,oos,2bf248e672cc,108,5,700,0.43714285714285717,1.0,-4.92607859500282,0.04993555262871271,0.008556237164285716,0.20068511580134643,-4.836158076256571,-0.8089789367696097,0.7907363689927773,-16.91635970743343,1.0,2.0220052391740557,0.02158790530540533,0.9996214755452758,140,linear_v5,2026-06-29T20:05:32.702312+00:00,OLS,False,12,,,108
