notebook,run_ts,model_kind,is_pooled,validation_scheme,target_kind,security,country,tenor,horizon,fold,regime,sample,config_hash,feature_count,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,lookback,reject_bonferroni,reject_fdr_bh,mtc_N,mtc_family
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_1Y,AUS,1Y,1,GFC,GFC,train,6e63a9429d93,1,922,0.5119305856832972,1.0,0.03079113986388704,0.0037443275195258373,0.00386585907440347,0.03884699457553291,0.03143714050062363,3.2235688903317983,0.000633019208886143,1.6389439436201418,0.05078322953326261,1.83644932332881,0.033145615248064364,0.24460512974694154,922,60,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_1Y,AUS,1Y,1,GFC,GFC,oos,6e63a9429d93,1,858,0.49417249417249415,1.0,-0.013244178415091845,0.0022492285075205584,0.00222450246037296,0.03299483327030112,-0.011115315711295315,-0.02731356874174277,0.5108951826921504,-1.130881855955675,0.8707894037755244,-0.32073238712004676,0.6257933992471438,0.6463565751739682,858,60,False,False,1641.0,walk_forward:universe:{country x tenor x horizon x regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_1Y,AUS,1Y,1,ZIRP_early,ZIRP,train,6e63a9429d93,1,1820,0.5076923076923077,1.0,0.01217137128499135,0.002980833589080187,0.0030207187102197796,0.035560411652951124,0.013203851455831361,2.5195046290569216,0.005876004755014597,1.2679314906566814,0.10249234245121618,1.2244481025146468,0.11039161632529992,0.263408497000094,1820,20,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_1Y,AUS,1Y,1,ZIRP_early,ZIRP,oos,6e63a9429d93,1,1128,0.5044326241134752,1.0,-0.008880463556325102,0.0004871399529722688,0.00048354069734042566,0.015144398135605324,-0.007443542294660599,0.5954174575550346,0.27578222949090714,-0.9551593863862787,0.8301490350826466,0.42100355454543176,0.336876243134954,0.39436786390007506,1128,20,False,False,1641.0,walk_forward:universe:{country x tenor x horizon x regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_1Y,AUS,1Y,1,ZIRP_late,ZIRP,train,6e63a9429d93,1,2958,0.5074374577417173,1.0,0.010413467236714435,0.0020232370171154677,0.0020463810291413117,0.02772999728511059,0.01130972760999227,2.132032261131102,0.016502097263964455,1.0745259169154624,0.14133735315793994,1.6549134232207139,0.04897103049791229,0.21458449002167132,2958,10,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_1Y,AUS,1Y,1,ZIRP_late,ZIRP,oos,6e63a9429d93,1,861,0.5063879210220673,1.0,-0.0008238987862865255,0.0002981448911512603,0.0002993166857142858,0.011737267913724403,0.003914898897898533,1.6071743111945045,0.054008067797700066,0.34787667758476537,0.3640089644820299,-0.44836279971041626,0.6730543076429462,0.3666384138576031,861,10,False,False,1641.0,walk_forward:universe:{country x tenor x horizon x regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_1Y,AUS,1Y,1,COVID,COVID,train,6e63a9429d93,1,3769,0.5022552401167418,1.0,0.014020659681489911,0.0016398934717907353,0.0016651872514194745,0.024159273223772135,0.01518975094673447,3.2392737301796317,0.0005991725304089757,1.646079866911867,0.049915357518774926,0.9994989453663763,0.15877652485824778,0.3971950456663241,3769,60,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_1Y,AUS,1Y,1,COVID,COVID,oos,6e63a9429d93,1,573,0.493891797556719,1.0,0.002931384149675309,0.00034169504762883787,0.0003432700917975567,0.008990643415211871,0.004588352455848987,1.4722484720540623,0.07047689616461983,0.4055317575771238,0.3426191594918098,0.40089862270135584,0.34424738199607374,0.6308711513963421,573,60,False,False,1641.0,walk_forward:universe:{country x tenor x horizon x regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_1Y,AUS,1Y,1,Hiking,Hiking,train,6e63a9429d93,1,4342,0.49930907415937353,1.0,0.0137174486391054,0.0014685720007186103,0.0014907380269921695,0.0221547711808373,0.014869162704786665,3.290700244158379,0.0004996917229790343,1.6722625409495995,0.04727231377411372,1.0079441780704361,0.15674063070986488,0.5422998427894872,4342,60,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_1Y,AUS,1Y,1,Hiking,Hiking,oos,6e63a9429d93,1,1196,0.5125418060200669,1.0,0.0030522354794276785,0.0024391348070927667,0.002458956874665552,0.03158322482517606,0.008061169261246892,1.9727922150782262,0.024259620243525237,0.8749713217276883,0.1908826648443854,0.9643582195379982,0.167433180728511,0.20086395958876743,1196,60,False,False,1641.0,walk_forward:universe:{country x tenor x horizon x regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_5Y,AUS,5Y,1,GFC,GFC,train,6e63a9429d93,1,979,0.5066394279877426,1.0,0.002581453778458531,0.005039961389608562,0.005053043155056178,0.05185745310608357,0.0025888885264171435,1.2221204921070359,0.11083103241951964,0.6153803812189046,0.2692233558681843,1.5424247033255751,0.06148521118148442,0.3506768439615981,979,5,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_5Y,AUS,5Y,1,GFC,GFC,oos,6e63a9429d93,1,847,0.5194805194805194,1.0,0.005050945123662887,0.0036983508144964646,0.0037259075539551375,0.04484274849533995,0.007395980458350548,2.223031122116518,0.01310685073069684,1.7443538487923804,0.04073028515343765,1.8528027309461588,0.03195531933615281,0.13576292697647577,847,5,False,False,1641.0,walk_forward:universe:{country x tenor x horizon x regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_5Y,AUS,5Y,1,ZIRP_early,ZIRP,train,6e63a9429d93,1,1826,0.515881708652793,1.0,0.004865763694772651,0.004413676813443635,0.004437444111171959,0.04861443114442848,0.005356078213691995,2.4602333484412098,0.006942335327807525,1.2450178533203229,0.10664251427239686,2.6943652598799948,0.003526141693553697,0.09110994285602347,1826,5,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_5Y,AUS,5Y,1,ZIRP_early,ZIRP,oos,6e63a9429d93,1,1140,0.5157894736842106,1.0,-0.0008674296243387225,0.0017114012660280865,0.0017103059210526316,0.03123041020005815,-0.0006404380420905742,0.9911490742865932,0.16080639657352946,-0.1029217952736246,0.5409784216716674,1.5855840263870165,0.05641685106296823,0.14995740299142252,1140,5,False,False,1641.0,walk_forward:universe:{country x tenor x horizon x regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_5Y,AUS,5Y,1,ZIRP_late,ZIRP,train,6e63a9429d93,1,2951,0.4906811250423585,1.0,0.0003670709859983079,0.0033927252608779894,0.0033955030301592672,0.042030271281369505,0.0008180729796455344,1.400999201046878,0.08060715601127089,0.7014368130264296,0.24154289185261107,0.14572811631373522,0.44206801234919046,0.8486992651657056,2951,20,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_5Y,AUS,5Y,1,ZIRP_late,ZIRP,oos,6e63a9429d93,1,846,0.5200945626477541,1.0,-5.340153257371583e-07,0.000866586788155867,0.0008694302926713946,0.022298152937785816,0.0032705376606912973,1.706554346440865,0.043952458432722774,1.0422541142066903,0.1487959876288113,-0.02608236737276644,0.5104041794615737,0.1282724570877512,846,20,False,False,1641.0,walk_forward:universe:{country x tenor x horizon x regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_5Y,AUS,5Y,1,COVID,COVID,train,6e63a9429d93,1,3757,0.49268033005057227,1.0,0.001062144783434138,0.0028433574652308546,0.002848260267394197,0.0377537119323084,0.0017213322179394641,1.714001088613617,0.04326426296839425,0.8586383182620857,0.19529744084253187,-0.5133927757416608,0.6961617009993535,0.8195418534776729,3757,60,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_5Y,AUS,5Y,1,COVID,COVID,oos,6e63a9429d93,1,616,0.5243506493506493,1.0,-0.0016915712117338,0.0012812865711836667,0.0012798887529220778,0.022273261665276052,-0.0010921404367352228,0.1550931857122626,0.4383739270993473,-0.2562801763606503,0.6010898973385597,2.257604950845444,0.011985149861822642,0.1213024169564523,616,60,False,False,1641.0,walk_forward:universe:{country x tenor x horizon x regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_5Y,AUS,5Y,1,Hiking,Hiking,train,6e63a9429d93,1,4373,0.4909672993368397,1.0,0.0011268561498550822,0.002623261088764269,0.0026273325626343467,0.035570965995288646,0.0015496606436435911,1.6814864927449396,0.04633422894616401,0.8422809986086105,0.19983837814034403,-0.3881806584932808,0.6510588272879383,0.8868170995593379,4373,60,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_5Y,AUS,5Y,1,Hiking,Hiking,oos,6e63a9429d93,1,1196,0.5175585284280937,1.0,-0.0032846208651313713,0.003959024520510717,0.003953233593311035,0.04663062810375208,-0.001464858340139763,-0.2885292380319562,0.6135291735241902,-0.7319847709019757,0.7678393055200461,1.7413584244141898,0.04081038552871519,0.11789429261068454,1196,60,False,False,1641.0,walk_forward:universe:{country x tenor x horizon x regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,AUS_10Y,AUS,10Y,1,GFC,GFC,train,6e63a9429d93,1,979,0.4933605720122574,1.0,0.003812910508589007,0.004336189077391546,0.0043528158363636375,0.048833448077830556,0.003819770832753977,1.604732971078654,0.05427629132917389,0.8101238040455722,0.20903304789526644,0.10930800093886155,0.4564791003960036,0.6727109849172008,979,5,False,False,,
