security,country,tenor,horizon,fold,regime,tau_w,tau_w_band
NOR_10Y,NOR,10Y,252,Block_GFC,GFC,2.849312623516344,strong
NOR_10Y,NOR,10Y,252,Block_ZIRP,ZIRP,40.0,none
NOR_10Y,NOR,10Y,252,Block_COVID,COVID,1.7111157522509042,strong
NOR_10Y,NOR,10Y,252,Block_Hiking,Hiking,1.5,strong
NOR_15Y,NOR,15Y,252,Block_GFC,GFC,4.264396278355514,strong
NOR_15Y,NOR,15Y,252,Block_ZIRP,ZIRP,1.0615747794508934,strong
NOR_15Y,NOR,15Y,252,Block_COVID,COVID,1.9317577618534674,strong
NOR_15Y,NOR,15Y,252,Block_Hiking,Hiking,1.5,strong
NOR_1Y,NOR,1Y,252,Block_GFC,GFC,2.7533037861359158,strong
NOR_1Y,NOR,1Y,252,Block_ZIRP,ZIRP,3.2999998550137364,strong
NOR_1Y,NOR,1Y,252,Block_COVID,COVID,40.0,none
NOR_1Y,NOR,1Y,252,Block_Hiking,Hiking,3.885299174485159,strong
NOR_30Y,NOR,30Y,252,Block_GFC,GFC,40.0,none
NOR_30Y,NOR,30Y,252,Block_ZIRP,ZIRP,1.418454170227051,strong
NOR_30Y,NOR,30Y,252,Block_COVID,COVID,1.703758825844242,strong
NOR_30Y,NOR,30Y,252,Block_Hiking,Hiking,3.0664009446533984,strong
NOR_5Y,NOR,5Y,252,Block_GFC,GFC,4.999999999999999,strong
NOR_5Y,NOR,5Y,252,Block_ZIRP,ZIRP,0.6226858326003553,strong
NOR_5Y,NOR,5Y,252,Block_COVID,COVID,0.24711259883578948,strong
NOR_5Y,NOR,5Y,252,Block_Hiking,Hiking,1.8985963419294387,strong
NOR_10Y,NOR,10Y,252,LORO_GFC,GFC,2.849312623516344,strong
NOR_10Y,NOR,10Y,252,LORO_ZIRP,ZIRP,40.0,none
NOR_10Y,NOR,10Y,252,LORO_COVID,COVID,1.7111157522509042,strong
NOR_10Y,NOR,10Y,252,LORO_Hiking,Hiking,1.5,strong
NOR_15Y,NOR,15Y,252,LORO_GFC,GFC,4.264396278355514,strong
NOR_15Y,NOR,15Y,252,LORO_ZIRP,ZIRP,1.0615747794508934,strong
NOR_15Y,NOR,15Y,252,LORO_COVID,COVID,1.9317577618534674,strong
NOR_15Y,NOR,15Y,252,LORO_Hiking,Hiking,1.5,strong
NOR_1Y,NOR,1Y,252,LORO_GFC,GFC,2.7231381027739348,strong
NOR_1Y,NOR,1Y,252,LORO_ZIRP,ZIRP,3.2999998550137364,strong
NOR_1Y,NOR,1Y,252,LORO_COVID,COVID,40.0,none
NOR_1Y,NOR,1Y,252,LORO_Hiking,Hiking,3.885299174485159,strong
NOR_30Y,NOR,30Y,252,LORO_GFC,GFC,40.0,none
NOR_30Y,NOR,30Y,252,LORO_ZIRP,ZIRP,1.3807556868942903,strong
NOR_30Y,NOR,30Y,252,LORO_COVID,COVID,1.703758825844242,strong
NOR_30Y,NOR,30Y,252,LORO_Hiking,Hiking,3.0664009446533984,strong
NOR_5Y,NOR,5Y,252,LORO_GFC,GFC,4.999999999999999,strong
NOR_5Y,NOR,5Y,252,LORO_ZIRP,ZIRP,0.6226858326003553,strong
NOR_5Y,NOR,5Y,252,LORO_COVID,COVID,0.24711259883578948,strong
NOR_5Y,NOR,5Y,252,LORO_Hiking,Hiking,1.8985963419294387,strong
