security,country,tenor,horizon,fold,regime,tau_w,tau_w_band
NOR_10Y,NOR,10Y,126,Block_GFC,GFC,4.7642795472677175,strong
NOR_10Y,NOR,10Y,126,Block_ZIRP,ZIRP,1.5,strong
NOR_10Y,NOR,10Y,126,Block_COVID,COVID,40.0,none
NOR_10Y,NOR,10Y,126,Block_Hiking,Hiking,40.0,none
NOR_15Y,NOR,15Y,126,Block_GFC,GFC,15.337670834475615,weak
NOR_15Y,NOR,15Y,126,Block_ZIRP,ZIRP,1.4999998807907104,strong
NOR_15Y,NOR,15Y,126,Block_COVID,COVID,12.344761928394728,mild
NOR_15Y,NOR,15Y,126,Block_Hiking,Hiking,0.39677376488347893,strong
NOR_1Y,NOR,1Y,126,Block_GFC,GFC,2.9475366545961337,strong
NOR_1Y,NOR,1Y,126,Block_ZIRP,ZIRP,2.200000047683716,strong
NOR_1Y,NOR,1Y,126,Block_COVID,COVID,26.99999999999999,none
NOR_1Y,NOR,1Y,126,Block_Hiking,Hiking,4.337863597253172,strong
NOR_30Y,NOR,30Y,126,Block_GFC,GFC,3.1916102436668305,strong
NOR_30Y,NOR,30Y,126,Block_ZIRP,ZIRP,2.1067219081366577,strong
NOR_30Y,NOR,30Y,126,Block_COVID,COVID,2.2272621474473073,strong
NOR_30Y,NOR,30Y,126,Block_Hiking,Hiking,33.32451248168946,none
NOR_5Y,NOR,5Y,126,Block_GFC,GFC,3.798085929806233,strong
NOR_5Y,NOR,5Y,126,Block_ZIRP,ZIRP,1.5,strong
NOR_5Y,NOR,5Y,126,Block_COVID,COVID,2.6700450978416654,strong
NOR_5Y,NOR,5Y,126,Block_Hiking,Hiking,1.9162077370643982,strong
NOR_10Y,NOR,10Y,126,LORO_GFC,GFC,4.7642795472677175,strong
NOR_10Y,NOR,10Y,126,LORO_ZIRP,ZIRP,1.5,strong
NOR_10Y,NOR,10Y,126,LORO_COVID,COVID,40.0,none
NOR_10Y,NOR,10Y,126,LORO_Hiking,Hiking,40.0,none
NOR_15Y,NOR,15Y,126,LORO_GFC,GFC,15.337670834475615,weak
NOR_15Y,NOR,15Y,126,LORO_ZIRP,ZIRP,1.4999998807907104,strong
NOR_15Y,NOR,15Y,126,LORO_COVID,COVID,12.344761928394728,mild
NOR_15Y,NOR,15Y,126,LORO_Hiking,Hiking,0.39677376488347893,strong
