security,country,tenor,horizon,fold,regime,tau_w,tau_w_band
NOR_10Y,NOR,10Y,252,Block_GFC,GFC,3.6669188839372744,strong
NOR_10Y,NOR,10Y,252,Block_ZIRP,ZIRP,2.200000047683716,strong
NOR_10Y,NOR,10Y,252,Block_COVID,COVID,0.33256236273847034,strong
NOR_10Y,NOR,10Y,252,Block_Hiking,Hiking,2.1794197851617167,strong
NOR_15Y,NOR,15Y,252,Block_GFC,GFC,3.215554520355036,strong
NOR_15Y,NOR,15Y,252,Block_ZIRP,ZIRP,1.2396133542060852,strong
NOR_15Y,NOR,15Y,252,Block_COVID,COVID,1.7435420556367685,strong
NOR_15Y,NOR,15Y,252,Block_Hiking,Hiking,40.0,none
NOR_1Y,NOR,1Y,252,Block_GFC,GFC,2.2698594611627487,strong
NOR_1Y,NOR,1Y,252,Block_ZIRP,ZIRP,3.2999994423157215,strong
NOR_1Y,NOR,1Y,252,Block_COVID,COVID,5.467651630790088,strong
NOR_1Y,NOR,1Y,252,Block_Hiking,Hiking,2.2268475421614964,strong
NOR_30Y,NOR,30Y,252,Block_GFC,GFC,12.0,mild
NOR_30Y,NOR,30Y,252,Block_ZIRP,ZIRP,5.21466422699839,strong
NOR_30Y,NOR,30Y,252,Block_COVID,COVID,1.9215199789306527,strong
NOR_30Y,NOR,30Y,252,Block_Hiking,Hiking,40.0,none
NOR_5Y,NOR,5Y,252,Block_GFC,GFC,3.378393270712258,strong
NOR_5Y,NOR,5Y,252,Block_ZIRP,ZIRP,1.6816165029313621,strong
NOR_5Y,NOR,5Y,252,Block_COVID,COVID,1.9768718604411093,strong
NOR_5Y,NOR,5Y,252,Block_Hiking,Hiking,1.5000000960083837,strong
NOR_10Y,NOR,10Y,252,LORO_GFC,GFC,3.6669188839372744,strong
NOR_10Y,NOR,10Y,252,LORO_ZIRP,ZIRP,2.200000047683716,strong
NOR_10Y,NOR,10Y,252,LORO_COVID,COVID,0.33256236273847034,strong
NOR_10Y,NOR,10Y,252,LORO_Hiking,Hiking,2.1794197851617167,strong
NOR_15Y,NOR,15Y,252,LORO_GFC,GFC,3.215554520355036,strong
NOR_15Y,NOR,15Y,252,LORO_ZIRP,ZIRP,1.2396133542060852,strong
NOR_15Y,NOR,15Y,252,LORO_COVID,COVID,1.7435420556367685,strong
NOR_15Y,NOR,15Y,252,LORO_Hiking,Hiking,40.0,none
NOR_1Y,NOR,1Y,252,LORO_GFC,GFC,2.2698594611627487,strong
NOR_1Y,NOR,1Y,252,LORO_ZIRP,ZIRP,3.2999994423157215,strong
NOR_1Y,NOR,1Y,252,LORO_COVID,COVID,5.467651630790088,strong
NOR_1Y,NOR,1Y,252,LORO_Hiking,Hiking,2.2268475421614964,strong
NOR_30Y,NOR,30Y,252,LORO_GFC,GFC,12.0,mild
NOR_30Y,NOR,30Y,252,LORO_ZIRP,ZIRP,5.21466422699839,strong
NOR_30Y,NOR,30Y,252,LORO_COVID,COVID,1.9215199789306527,strong
NOR_30Y,NOR,30Y,252,LORO_Hiking,Hiking,40.0,none
NOR_5Y,NOR,5Y,252,LORO_GFC,GFC,3.378393270712258,strong
NOR_5Y,NOR,5Y,252,LORO_ZIRP,ZIRP,1.6816165029313621,strong
NOR_5Y,NOR,5Y,252,LORO_COVID,COVID,1.9768718604411093,strong
NOR_5Y,NOR,5Y,252,LORO_Hiking,Hiking,1.5000000960083837,strong
