security,country,tenor,horizon,fold,regime,tau_w,tau_w_band
NOR_10Y,NOR,10Y,126,GFC,GFC,3.901557907817548,strong
NOR_10Y,NOR,10Y,126,ZIRP_early,ZIRP,1.5,strong
NOR_10Y,NOR,10Y,126,ZIRP_late,ZIRP,40.0,none
NOR_10Y,NOR,10Y,126,COVID,COVID,7.147238224744796,mild
NOR_10Y,NOR,10Y,126,Hiking,Hiking,1.7573738579704858,strong
NOR_15Y,NOR,15Y,126,GFC,GFC,3.98627419291928,strong
NOR_15Y,NOR,15Y,126,ZIRP_early,ZIRP,1.6723758708528724,strong
NOR_15Y,NOR,15Y,126,ZIRP_late,ZIRP,5.2220715483369595,strong
NOR_15Y,NOR,15Y,126,COVID,COVID,0.688919289420312,strong
NOR_15Y,NOR,15Y,126,Hiking,Hiking,10.624229552021587,mild
NOR_1Y,NOR,1Y,126,GFC,GFC,5.03009835374175,strong
NOR_1Y,NOR,1Y,126,ZIRP_early,ZIRP,27.51442337036133,none
NOR_1Y,NOR,1Y,126,ZIRP_late,ZIRP,2.6140685728770277,strong
NOR_1Y,NOR,1Y,126,COVID,COVID,3.1193132234891365,strong
NOR_1Y,NOR,1Y,126,Hiking,Hiking,4.75841856127597,strong
NOR_30Y,NOR,30Y,126,GFC,GFC,40.0,none
NOR_30Y,NOR,30Y,126,ZIRP_early,ZIRP,2.31028645870983,strong
NOR_30Y,NOR,30Y,126,ZIRP_late,ZIRP,40.0,none
NOR_30Y,NOR,30Y,126,COVID,COVID,0.38519534970425234,strong
NOR_30Y,NOR,30Y,126,Hiking,Hiking,31.968992233276367,none
NOR_5Y,NOR,5Y,126,GFC,GFC,40.0,none
NOR_5Y,NOR,5Y,126,ZIRP_early,ZIRP,1.7400294251300132,strong
NOR_5Y,NOR,5Y,126,ZIRP_late,ZIRP,2.200000047683716,strong
NOR_5Y,NOR,5Y,126,COVID,COVID,1.8851422892366172,strong
NOR_5Y,NOR,5Y,126,Hiking,Hiking,4.094303954482016,strong
