security,country,tenor,horizon,fold,regime,tau_w,tau_w_band
NOR_10Y,NOR,10Y,1,GFC,GFC,4.7301757818469055,strong
NOR_10Y,NOR,10Y,1,ZIRP_early,ZIRP,1.1739966134105344,strong
NOR_10Y,NOR,10Y,1,ZIRP_late,ZIRP,0.328572706396836,strong
NOR_10Y,NOR,10Y,1,COVID,COVID,1.5885646581357198,strong
NOR_10Y,NOR,10Y,1,Hiking,Hiking,3.2289525298507935,strong
NOR_15Y,NOR,15Y,1,GFC,GFC,10.323972702026365,mild
NOR_15Y,NOR,15Y,1,ZIRP_early,ZIRP,8.288936691733442,mild
NOR_15Y,NOR,15Y,1,ZIRP_late,ZIRP,2.851491374927711,strong
NOR_15Y,NOR,15Y,1,COVID,COVID,2.59372678589086,strong
NOR_15Y,NOR,15Y,1,Hiking,Hiking,2.4302554915309478,strong
NOR_1Y,NOR,1Y,1,GFC,GFC,2.8418341691507445,strong
NOR_1Y,NOR,1Y,1,ZIRP_early,ZIRP,8.170956010056315,mild
NOR_1Y,NOR,1Y,1,ZIRP_late,ZIRP,2.304509887133408,strong
NOR_1Y,NOR,1Y,1,COVID,COVID,1.883944393016412,strong
NOR_1Y,NOR,1Y,1,Hiking,Hiking,2.339436936051214,strong
NOR_30Y,NOR,30Y,1,GFC,GFC,1.5,strong
NOR_30Y,NOR,30Y,1,ZIRP_early,ZIRP,1.3511325418949127,strong
NOR_30Y,NOR,30Y,1,ZIRP_late,ZIRP,1.3403970549699222,strong
NOR_30Y,NOR,30Y,1,COVID,COVID,1.3532717904903901,strong
NOR_30Y,NOR,30Y,1,Hiking,Hiking,2.7388936683989624,strong
NOR_5Y,NOR,5Y,1,GFC,GFC,1.6409095275797654,strong
NOR_5Y,NOR,5Y,1,ZIRP_early,ZIRP,9.527305008066303,mild
NOR_5Y,NOR,5Y,1,ZIRP_late,ZIRP,1.4681251678359948,strong
NOR_5Y,NOR,5Y,1,COVID,COVID,1.4343601410488869,strong
NOR_5Y,NOR,5Y,1,Hiking,Hiking,2.601678593038929,strong
