security,country,tenor,horizon,fold,regime,tau_w,tau_w_band
NOR_10Y,NOR,10Y,21,GFC,GFC,40.0,none
NOR_10Y,NOR,10Y,21,ZIRP_early,ZIRP,40.00000095367432,none
NOR_10Y,NOR,10Y,21,ZIRP_late,ZIRP,40.00000095367432,none
NOR_10Y,NOR,10Y,21,COVID,COVID,40.0,none
NOR_10Y,NOR,10Y,21,Hiking,Hiking,2.2871734282458522,strong
NOR_15Y,NOR,15Y,21,GFC,GFC,40.0,none
NOR_15Y,NOR,15Y,21,ZIRP_early,ZIRP,2.3939884097889768,strong
NOR_15Y,NOR,15Y,21,ZIRP_late,ZIRP,1.4506913171828055,strong
NOR_15Y,NOR,15Y,21,COVID,COVID,1.8706175886288914,strong
NOR_15Y,NOR,15Y,21,Hiking,Hiking,3.579901380160843,strong
NOR_1Y,NOR,1Y,21,GFC,GFC,1.939402770496295,strong
NOR_1Y,NOR,1Y,21,ZIRP_early,ZIRP,3.5792182659155656,strong
NOR_1Y,NOR,1Y,21,ZIRP_late,ZIRP,1.9302928054527957,strong
NOR_1Y,NOR,1Y,21,COVID,COVID,1.3043624543124297,strong
NOR_1Y,NOR,1Y,21,Hiking,Hiking,2.4792304882907987,strong
NOR_30Y,NOR,30Y,21,GFC,GFC,2.6490947743730993,strong
NOR_30Y,NOR,30Y,21,ZIRP_early,ZIRP,0.33418522310421833,strong
NOR_30Y,NOR,30Y,21,ZIRP_late,ZIRP,40.0,none
NOR_30Y,NOR,30Y,21,COVID,COVID,40.0,none
NOR_30Y,NOR,30Y,21,Hiking,Hiking,1.6268390070855547,strong
NOR_5Y,NOR,5Y,21,GFC,GFC,39.9999990463257,none
NOR_5Y,NOR,5Y,21,ZIRP_early,ZIRP,32.67693710327148,none
NOR_5Y,NOR,5Y,21,ZIRP_late,ZIRP,40.0,none
NOR_5Y,NOR,5Y,21,COVID,COVID,1.5580504278195133,strong
NOR_5Y,NOR,5Y,21,Hiking,Hiking,0.7392171068580843,strong
