security,country,tenor,horizon,fold,regime,tau_w,tau_w_band
NOR_10Y,NOR,10Y,252,ZIRP_early,ZIRP,40.0,none
NOR_10Y,NOR,10Y,252,ZIRP_late,ZIRP,0.14376463756912877,strong
NOR_10Y,NOR,10Y,252,COVID,COVID,0.9825831651687622,strong
NOR_10Y,NOR,10Y,252,Hiking,Hiking,2.76247392575214,strong
NOR_15Y,NOR,15Y,252,ZIRP_early,ZIRP,40.0,none
NOR_15Y,NOR,15Y,252,ZIRP_late,ZIRP,40.0,none
NOR_15Y,NOR,15Y,252,COVID,COVID,2.3230897466051466,strong
NOR_15Y,NOR,15Y,252,Hiking,Hiking,2.792575281790995,strong
NOR_1Y,NOR,1Y,252,ZIRP_early,ZIRP,2.70904541015625,strong
NOR_1Y,NOR,1Y,252,ZIRP_late,ZIRP,5.25177262534962,strong
NOR_1Y,NOR,1Y,252,COVID,COVID,7.797579765319824,mild
NOR_1Y,NOR,1Y,252,Hiking,Hiking,5.936031799535373,strong
NOR_30Y,NOR,30Y,252,ZIRP_early,ZIRP,2.8044930458665775,strong
NOR_30Y,NOR,30Y,252,ZIRP_late,ZIRP,40.0,none
NOR_30Y,NOR,30Y,252,COVID,COVID,5.230069630782271,strong
NOR_30Y,NOR,30Y,252,Hiking,Hiking,40.0,none
NOR_5Y,NOR,5Y,252,ZIRP_early,ZIRP,2.103090763092041,strong
NOR_5Y,NOR,5Y,252,ZIRP_late,ZIRP,40.0,none
NOR_5Y,NOR,5Y,252,COVID,COVID,0.32689097378181464,strong
NOR_5Y,NOR,5Y,252,Hiking,Hiking,2.449929221614364,strong
