security,country,tenor,horizon,fold,regime,tau_w,tau_w_band
NOR_10Y,NOR,10Y,5,GFC,GFC,1.9243755490787273,strong
NOR_10Y,NOR,10Y,5,ZIRP_early,ZIRP,7.499999999999999,mild
NOR_10Y,NOR,10Y,5,ZIRP_late,ZIRP,0.5905642110853893,strong
NOR_10Y,NOR,10Y,5,COVID,COVID,3.485925566829606,strong
NOR_10Y,NOR,10Y,5,Hiking,Hiking,40.00000095367432,none
NOR_15Y,NOR,15Y,5,GFC,GFC,16.744622707366943,weak
NOR_15Y,NOR,15Y,5,ZIRP_early,ZIRP,3.7567415519395126,strong
NOR_15Y,NOR,15Y,5,ZIRP_late,ZIRP,40.0,none
NOR_15Y,NOR,15Y,5,COVID,COVID,40.0,none
NOR_15Y,NOR,15Y,5,Hiking,Hiking,15.314061599410184,weak
NOR_1Y,NOR,1Y,5,GFC,GFC,2.0730369680276737,strong
NOR_1Y,NOR,1Y,5,ZIRP_early,ZIRP,2.4289875289703757,strong
NOR_1Y,NOR,1Y,5,ZIRP_late,ZIRP,1.3489879030247578,strong
NOR_1Y,NOR,1Y,5,COVID,COVID,1.6621427152482549,strong
NOR_1Y,NOR,1Y,5,Hiking,Hiking,0.6068013172911526,strong
NOR_30Y,NOR,30Y,5,GFC,GFC,1.039508398484437,strong
NOR_30Y,NOR,30Y,5,ZIRP_early,ZIRP,31.633871078491214,none
NOR_30Y,NOR,30Y,5,ZIRP_late,ZIRP,0.1709393860819583,strong
NOR_30Y,NOR,30Y,5,COVID,COVID,34.3837652206421,none
NOR_30Y,NOR,30Y,5,Hiking,Hiking,0.32355060848959605,strong
NOR_5Y,NOR,5Y,5,GFC,GFC,2.349664448574754,strong
NOR_5Y,NOR,5Y,5,ZIRP_early,ZIRP,39.999999523162835,none
NOR_5Y,NOR,5Y,5,ZIRP_late,ZIRP,40.0,none
NOR_5Y,NOR,5Y,5,COVID,COVID,40.0,none
NOR_5Y,NOR,5Y,5,Hiking,Hiking,1.5064058652198682,strong
