security,country,tenor,horizon,fold,regime,tau_w,tau_w_band
NOR_10Y,NOR,10Y,63,GFC,GFC,40.0,none
NOR_10Y,NOR,10Y,63,ZIRP_early,ZIRP,3.279789544058065,strong
NOR_10Y,NOR,10Y,63,ZIRP_late,ZIRP,40.0,none
NOR_10Y,NOR,10Y,63,COVID,COVID,40.0,none
NOR_10Y,NOR,10Y,63,Hiking,Hiking,39.999999284744256,none
NOR_15Y,NOR,15Y,63,GFC,GFC,40.00000143051147,none
NOR_15Y,NOR,15Y,63,ZIRP_early,ZIRP,3.158452604153132,strong
NOR_15Y,NOR,15Y,63,ZIRP_late,ZIRP,7.499999046325684,mild
NOR_15Y,NOR,15Y,63,COVID,COVID,39.99999833106994,none
NOR_15Y,NOR,15Y,63,Hiking,Hiking,27.08710949858669,none
NOR_1Y,NOR,1Y,63,GFC,GFC,10.931101809046606,mild
NOR_1Y,NOR,1Y,63,ZIRP_early,ZIRP,3.001542631614451,strong
NOR_1Y,NOR,1Y,63,ZIRP_late,ZIRP,0.14238981564985875,strong
NOR_1Y,NOR,1Y,63,COVID,COVID,3.532602340596396,strong
NOR_1Y,NOR,1Y,63,Hiking,Hiking,2.370731852283445,strong
NOR_30Y,NOR,30Y,63,GFC,GFC,1.7812429791848297,strong
NOR_30Y,NOR,30Y,63,ZIRP_early,ZIRP,2.41345937102712,strong
NOR_30Y,NOR,30Y,63,ZIRP_late,ZIRP,2.5600952767505794,strong
NOR_30Y,NOR,30Y,63,COVID,COVID,39.9999990463257,none
NOR_30Y,NOR,30Y,63,Hiking,Hiking,0.9505873813529337,strong
NOR_5Y,NOR,5Y,63,GFC,GFC,5.980580113502319,strong
NOR_5Y,NOR,5Y,63,ZIRP_early,ZIRP,1.6960995611484377,strong
NOR_5Y,NOR,5Y,63,ZIRP_late,ZIRP,40.0,none
NOR_5Y,NOR,5Y,63,COVID,COVID,0.7659188611000382,strong
NOR_5Y,NOR,5Y,63,Hiking,Hiking,7.863029332871347,mild
