security,country,tenor,horizon,fold,regime,tau_w,tau_w_band
NOR_10Y,NOR,10Y,126,GFC,GFC,4.461756830533526,strong
NOR_10Y,NOR,10Y,126,ZIRP_early,ZIRP,5.409838374191871,strong
NOR_10Y,NOR,10Y,126,ZIRP_late,ZIRP,40.0,none
NOR_10Y,NOR,10Y,126,COVID,COVID,1.5554449562151735,strong
NOR_10Y,NOR,10Y,126,Hiking,Hiking,2.4981153445175486,strong
NOR_15Y,NOR,15Y,126,GFC,GFC,3.571513928222901,strong
NOR_15Y,NOR,15Y,126,ZIRP_early,ZIRP,1.677398188528601,strong
NOR_15Y,NOR,15Y,126,ZIRP_late,ZIRP,1.5,strong
NOR_15Y,NOR,15Y,126,COVID,COVID,1.2843849112877472,strong
NOR_15Y,NOR,15Y,126,Hiking,Hiking,1.9385049854582508,strong
NOR_1Y,NOR,1Y,126,GFC,GFC,7.88961943722997,mild
NOR_1Y,NOR,1Y,126,ZIRP_early,ZIRP,5.138008051467585,strong
NOR_1Y,NOR,1Y,126,ZIRP_late,ZIRP,12.0,mild
NOR_1Y,NOR,1Y,126,COVID,COVID,5.932748339594714,strong
NOR_1Y,NOR,1Y,126,Hiking,Hiking,2.849607803059362,strong
NOR_30Y,NOR,30Y,126,GFC,GFC,3.3361706554667094,strong
NOR_30Y,NOR,30Y,126,ZIRP_early,ZIRP,2.120960534034254,strong
NOR_30Y,NOR,30Y,126,ZIRP_late,ZIRP,2.8578197222188813,strong
NOR_30Y,NOR,30Y,126,COVID,COVID,31.626510620117195,none
NOR_30Y,NOR,30Y,126,Hiking,Hiking,1.6799698757014065,strong
NOR_5Y,NOR,5Y,126,GFC,GFC,8.107404889141327,mild
NOR_5Y,NOR,5Y,126,ZIRP_early,ZIRP,1.9012287652750754,strong
NOR_5Y,NOR,5Y,126,ZIRP_late,ZIRP,40.0,none
NOR_5Y,NOR,5Y,126,COVID,COVID,2.9920332735552586,strong
NOR_5Y,NOR,5Y,126,Hiking,Hiking,1.641331672668457,strong
