security,country,tenor,horizon,fold,regime,tau_w,tau_w_band
NOR_10Y,NOR,10Y,1,GFC,GFC,2.68155668987357,strong
NOR_10Y,NOR,10Y,1,ZIRP_early,ZIRP,1.993728505128634,strong
NOR_10Y,NOR,10Y,1,ZIRP_late,ZIRP,1.0,strong
NOR_10Y,NOR,10Y,1,COVID,COVID,1.9426278293208037,strong
NOR_10Y,NOR,10Y,1,Hiking,Hiking,2.4485808166554675,strong
NOR_15Y,NOR,15Y,1,GFC,GFC,5.63215202623235,strong
NOR_15Y,NOR,15Y,1,ZIRP_early,ZIRP,2.200000047683716,strong
NOR_15Y,NOR,15Y,1,ZIRP_late,ZIRP,1.217565682804466,strong
NOR_15Y,NOR,15Y,1,COVID,COVID,1.6403212481523497,strong
NOR_15Y,NOR,15Y,1,Hiking,Hiking,3.7849038404087896,strong
NOR_1Y,NOR,1Y,1,GFC,GFC,4.276777330644633,strong
NOR_1Y,NOR,1Y,1,ZIRP_early,ZIRP,3.9100486205738814,strong
NOR_1Y,NOR,1Y,1,ZIRP_late,ZIRP,1.5,strong
NOR_1Y,NOR,1Y,1,COVID,COVID,6.537648562880815,strong
NOR_1Y,NOR,1Y,1,Hiking,Hiking,6.155941189286285,strong
NOR_30Y,NOR,30Y,1,GFC,GFC,3.558376218423744,strong
NOR_30Y,NOR,30Y,1,ZIRP_early,ZIRP,1.4880094571400324,strong
NOR_30Y,NOR,30Y,1,ZIRP_late,ZIRP,3.1796867601436465,strong
NOR_30Y,NOR,30Y,1,COVID,COVID,1.5854517887812427,strong
NOR_30Y,NOR,30Y,1,Hiking,Hiking,0.38579482900469136,strong
NOR_5Y,NOR,5Y,1,GFC,GFC,3.495700018493928,strong
NOR_5Y,NOR,5Y,1,ZIRP_early,ZIRP,10.066099570096089,mild
NOR_5Y,NOR,5Y,1,ZIRP_late,ZIRP,1.9927746133566209,strong
NOR_5Y,NOR,5Y,1,COVID,COVID,2.2292907928889703,strong
NOR_5Y,NOR,5Y,1,Hiking,Hiking,2.772213013781456,strong
