security,country,tenor,horizon,fold,regime,tau_w,tau_w_band
NOR_10Y,NOR,10Y,21,GFC,GFC,24.528767667577732,weak
NOR_10Y,NOR,10Y,21,ZIRP_early,ZIRP,40.0,none
NOR_10Y,NOR,10Y,21,ZIRP_late,ZIRP,1.316720912062466,strong
NOR_10Y,NOR,10Y,21,COVID,COVID,1.3436485162656506,strong
NOR_10Y,NOR,10Y,21,Hiking,Hiking,1.2423572299369714,strong
NOR_15Y,NOR,15Y,21,GFC,GFC,40.0,none
NOR_15Y,NOR,15Y,21,ZIRP_early,ZIRP,1.8335996941271313,strong
NOR_15Y,NOR,15Y,21,ZIRP_late,ZIRP,7.3738330050912895,mild
NOR_15Y,NOR,15Y,21,COVID,COVID,5.415028060084882,strong
NOR_15Y,NOR,15Y,21,Hiking,Hiking,2.8162692039244663,strong
NOR_1Y,NOR,1Y,21,GFC,GFC,3.3410999723050088,strong
NOR_1Y,NOR,1Y,21,ZIRP_early,ZIRP,2.691670822927757,strong
NOR_1Y,NOR,1Y,21,ZIRP_late,ZIRP,3.2999999523162837,strong
NOR_1Y,NOR,1Y,21,COVID,COVID,3.0931280920929445,strong
NOR_1Y,NOR,1Y,21,Hiking,Hiking,2.2934940324637436,strong
NOR_30Y,NOR,30Y,21,GFC,GFC,3.7048784282782274,strong
NOR_30Y,NOR,30Y,21,ZIRP_early,ZIRP,1.6266431298201627,strong
NOR_30Y,NOR,30Y,21,ZIRP_late,ZIRP,0.20029889469038528,strong
NOR_30Y,NOR,30Y,21,COVID,COVID,40.0,none
NOR_30Y,NOR,30Y,21,Hiking,Hiking,3.555833445740817,strong
NOR_5Y,NOR,5Y,21,GFC,GFC,8.530019137112566,mild
NOR_5Y,NOR,5Y,21,ZIRP_early,ZIRP,2.2213350065749458,strong
NOR_5Y,NOR,5Y,21,ZIRP_late,ZIRP,0.833915429043656,strong
NOR_5Y,NOR,5Y,21,COVID,COVID,1.8856954824787673,strong
NOR_5Y,NOR,5Y,21,Hiking,Hiking,1.1270543657264116,strong
