validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,notebook,run_ts,model_kind,is_pooled,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,pca_k,xm_pca_evr,htb_ntrees,htb_depth
walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,train,bd50ee1ef41d,108,v5,2026-06-28T14:16:26.008857+00:00,per_security,False,126,846,0.7730496453900709,1.0,0.6397268515835501,0.08821157263815783,0.2448513449615839,0.23636220588463291,0.6397341715562239,1.8921744796710795,0.02923386871878142,1.516993791397312,0.06482112777512586,16.02767916671185,0.0,5.853088181199734e-60,7,12,0.7891895196418691,1,2
walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,oos,bd50ee1ef41d,108,v5,2026-06-28T14:16:26.008857+00:00,per_security,False,126,625,0.6256,1.0,-0.18767954820771227,0.12196025533346254,0.126972456224,0.2794308886707977,0.03947471002447278,2.935680627343353,0.00166408391829731,0.5416177009492276,0.2941376110314013,6.222065548627133,2.4532598175142084e-10,1.7788016065982848e-10,5,12,0.7891895196418691,1,2
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_early,ZIRP,train,bd50ee1ef41d,108,v5,2026-06-28T14:16:26.008857+00:00,per_security,False,126,1468,0.6185286103542235,1.0,0.026388636342171368,0.1848690533341013,0.19628047228542234,0.3245553239647837,0.058138330412854544,1.1955373793352408,0.1159385705102598,0.7014833476518745,0.24155634295511647,,,4.552367990098964e-20,12,12,0.7371156802628371,1,1
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_early,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-28T14:16:26.008857+00:00,per_security,False,126,1011,0.6993076162215628,1.0,-0.022734462956065737,0.1338150262916887,0.14226183269040554,0.2976567458835718,0.05937507087441385,1.0374535141469603,0.1497622747210775,0.5912753983644107,0.2772341063844304,0.0,0.5,6.434539611748782e-38,8,12,0.7371156802628371,1,1
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_late,ZIRP,train,bd50ee1ef41d,108,v5,2026-06-28T14:16:26.008857+00:00,per_security,False,126,2474,0.6657235246564268,1.0,4.062523484282821e-06,0.15352309651976911,0.16520545047089732,0.29561038092583924,0.07071409519376715,1.743643324069671,0.04061065189462931,0.8276212372539303,0.2039824460586619,,,2.41826364452032e-62,20,12,0.7346631250942897,1,6
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_late,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-28T14:16:26.008857+00:00,per_security,False,126,782,0.5754475703324808,1.0,-0.026715904419435388,0.09546633120974347,0.09637444030690535,0.22752301155700708,0.00942271720873289,0.8964453031625277,0.1850074903594474,0.0542835495831219,0.4783615690943422,,,1.3866166071797967e-05,6,12,0.7346631250942897,1,6
walk_forward,level_change,NOR_10Y,NOR,10Y,COVID,COVID,train,bd50ee1ef41d,108,v5,2026-06-28T14:16:26.008857+00:00,per_security,False,126,3256,0.6818181818181818,1.0,0.12483665393761878,0.12052802579678272,0.14335025464834153,0.2663741151398473,0.15920605727241277,2.146138776676946,0.015930954187362345,1.6593306744136074,0.048572756324164613,14.908725770925951,0.0,6.013639868516882e-98,26,12,0.723640999543572,2,2
walk_forward,level_change,NOR_10Y,NOR,10Y,COVID,COVID,oos,bd50ee1ef41d,108,v5,2026-06-28T14:16:26.008857+00:00,per_security,False,126,541,0.26247689463955637,1.0,-0.1940178888617361,0.31701504565235883,0.3026966992236599,0.4585386810860826,-0.047302618315369305,-1.063613832175347,0.856248163164006,-0.916319661769609,0.8200458573167744,,,1.0,4,12,0.723640999543572,2,2
walk_forward,level_change,NOR_10Y,NOR,10Y,Hiking,Hiking,train,bd50ee1ef41d,108,v5,2026-06-28T14:16:26.008857+00:00,per_security,False,126,3779,0.5983064302725589,1.0,0.051765341235519124,0.14795528976005448,0.16034374165255358,0.2930319838277749,0.07726183613292148,2.1366789992456376,0.016312054625646888,1.5404114628140944,0.061771918321104874,,,4.715706708753799e-34,30,12,0.7158729589351017,2,2
walk_forward,level_change,NOR_10Y,NOR,10Y,Hiking,Hiking,oos,bd50ee1ef41d,108,v5,2026-06-28T14:16:26.008857+00:00,per_security,False,126,1023,0.33724340175953077,1.0,-0.30394096726409625,0.24365502626480492,0.21176538569892472,0.39954599966971993,-0.1505894859097463,-1.8132138945100962,0.9651005811849097,-1.884165009884869,0.9700868480694931,,,1.0,8,12,0.7158729589351017,2,2
