validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,notebook,run_ts,model_kind,is_pooled,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,pca_k,xm_pca_evr,htb_ntrees,htb_depth
walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,train,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,780,0.5423076923076923,1.0,0.02296849227133524,0.0018155834390357925,0.001858540474358975,0.03172682495466199,0.023113317097922637,3.542832520195287,0.00019792700765763893,2.8101411444045366,0.0025380880057631165,3.436615820873712,0.00029451522531087626,0.009943472785376592,780,12,0.7879943230330043,26,1
walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,oos,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,520,0.47307692307692306,1.0,-0.011232356438732438,0.0017513443725150958,0.0017319007163461527,0.03214021772827023,-0.011226772981515865,-0.9147576577193823,0.8198405660146245,-1.73703679295007,0.9585130199952295,-0.8846718030161228,0.8118331661204294,0.898288495374472,520,12,0.7879943230330043,26,1
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_early,ZIRP,train,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,1300,0.5453846153846154,1.0,0.0060408972260921345,0.0017968387402162037,0.0018078845711538463,0.03195104521683292,0.006109809837357538,4.6150843870400635,1.9646781265203472e-06,4.431847195449544,5.064954185998768e-06,5.39873495449377,3.3556217582386694e-08,0.0005831741847730537,1300,12,0.7497832623050359,1,2
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_early,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,810,0.49876543209876545,1.0,-0.0014834332729611877,0.0011339825554384153,0.001133662530864198,0.025134550812303088,-0.0002822926272187942,-0.0806358929724456,0.5321342396643239,-0.27466736733371017,0.6081790353856189,0.7276777027778328,0.23340545130549972,0.5419702016926164,810,12,0.7497832623050359,1,2
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_late,ZIRP,train,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,2110,0.5355450236966824,1.0,0.008153485906116198,0.0015359901373939704,0.0015490599964454977,0.02926174176651163,0.008437283953828478,4.308482201671377,8.218935077963785e-06,3.699671216099131,0.00011070227516854527,4.869668897803887,5.58926999794096e-07,0.0005873468019621262,2110,12,0.749304533007686,5,2
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_late,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,626,0.4936102236421725,1.0,0.0033161116084522435,0.0006378635624135461,0.0006399888817891379,0.01924584007942771,0.0033208692151811547,1.3203781016691483,0.09335440556943686,0.7019218539006977,0.24149459992493663,1.0135725832611338,0.15539337276424803,0.6404532393088862,626,12,0.749304533007686,5,2
walk_forward,level_change,NOR_10Y,NOR,10Y,COVID,COVID,train,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,2736,0.5208333333333334,1.0,0.012520990024370127,0.0013240243735974037,0.001341063462171053,0.0269211439024408,0.012705654172446512,6.060992113489589,6.764223625665977e-10,4.734771854941228,1.1523860845960462e-06,4.706360319112387,1.2608931654334299e-06,0.015364172939337957,2736,12,0.733410132169045,98,2
walk_forward,level_change,NOR_10Y,NOR,10Y,COVID,COVID,oos,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,437,0.5354691075514875,1.0,-0.002038135934256058,0.0012035810891356602,0.0012013288787185352,0.026415110570304177,-0.0018747659005147188,0.27815989738095853,0.390444808863336,-0.3132633842206379,0.62288481645122,2.295426195872937,0.010854355766050316,0.07558880552167803,437,12,0.733410132169045,98,2
walk_forward,level_change,NOR_10Y,NOR,10Y,Hiking,Hiking,train,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,3174,0.5592312539382482,1.0,0.028056482342967315,0.0012844256091253921,0.0013216335105545056,0.026536884219156065,0.028152964594172936,9.736035337285681,0.0,8.082600363060182,4.461866736173241e-16,9.30761604006355,0.0,1.3339240613689177e-11,3174,12,0.723566146940768,23,3
walk_forward,level_change,NOR_10Y,NOR,10Y,Hiking,Hiking,oos,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,909,0.5137513751375138,1.0,-0.0009946490310590583,0.002442160420707423,0.0024414659048404854,0.03783463411388458,-0.00028446674825999274,0.9496188297409087,0.1711529835980382,-0.06495895569846251,0.5258895109266144,1.3277319058679573,0.09213334464058076,0.21301517392881314,909,12,0.723566146940768,23,3
walk_forward,level_change,NOR_15Y,NOR,15Y,GFC,GFC,train,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,769,0.49154746423927176,1.0,0.0024060000240646584,0.0023726300180811136,0.0023785185305591657,0.03396040670081587,0.0024757059498997647,3.29971784125889,0.00048391040661166507,3.1517742406316454,0.0008429186513658596,1.8231508555153264,0.03414027298151234,0.6931545719390304,769,12,0.7883864699371299,1,3
walk_forward,level_change,NOR_15Y,NOR,15Y,GFC,GFC,oos,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,536,0.45149253731343286,1.0,-0.0008392467232307688,0.001692067453232861,0.001690951492537315,0.031155453218322172,-0.000659960206115251,-0.4618802656338589,0.6779164066882902,-0.6110071399057204,0.7292728225554815,-1.0872864825119808,0.8615448896725932,0.9890115084569875,536,12,0.7883864699371299,1,3
walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_early,ZIRP,train,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,1305,0.5126436781609195,1.0,0.0041259172799225086,0.00208725059474076,0.0020961155172413786,0.032735127645133755,0.004229214672426873,3.6714104765563467,0.00012060778579714437,3.335692751354875,0.00043740319139051303,3.453569471343458,0.0002766098957024399,0.18786098102947743,1305,12,0.7510627207440271,3,2
walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_early,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,825,0.45454545454545453,1.0,-0.004970375557559192,0.0012061809757353964,0.0012023293939393935,0.025730740461438143,-0.003203433115265719,-0.8701811827769776,0.8078993011791327,-1.3074010507644862,0.9042793899896535,0.7410779120925315,0.22932310064304762,0.9959465995643357,825,12,0.7510627207440271,3,2
walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_late,ZIRP,train,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,2130,0.5075117370892018,1.0,0.006113298704931713,0.0017391563857125998,0.0017499307511737083,0.029937288855875887,0.006157023901592673,4.133116348818159,1.7893872188423643e-05,3.1669817801994293,0.0007810565776669962,3.208327838483207,0.0006675460764342667,0.2508936501178653,2130,12,0.7492333408121802,91,2
walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_late,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,626,0.4712460063897764,1.0,0.004304115719938606,0.0006568894707696787,0.0006597404793929714,0.019506376908988033,0.004321409269772203,1.6227252682172248,0.05232407365123015,0.9373646413258455,0.17446654610905665,0.11513995086947577,0.454167097122944,0.9304366579671739,626,12,0.7492333408121802,91,2
walk_forward,level_change,NOR_15Y,NOR,15Y,COVID,COVID,train,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,2756,0.5566037735849056,1.0,0.02914355048159556,0.0014584662608051202,0.0015023040784107398,0.02708935250811573,0.02918038913399934,9.916493255601576,0.0,8.212331825805343,1.6477635104643144e-16,9.225585100275183,0.0,1.5127032360413784e-09,2756,12,0.7332525077645072,113,6
walk_forward,level_change,NOR_15Y,NOR,15Y,COVID,COVID,oos,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,418,0.5143540669856459,1.0,-0.003047569047988974,0.0013160034232454676,0.0013120112679425844,0.027682013118960604,-0.0030427751654475976,0.4853188939264629,0.31372507753364454,-0.3641433503424658,0.642032233053593,0.8181095329503609,0.20664732298352684,0.2953054391629938,418,12,0.7332525077645072,113,6
walk_forward,level_change,NOR_15Y,NOR,15Y,Hiking,Hiking,train,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,3174,0.5434782608695652,1.0,0.018533003712500662,0.0014498276590325706,0.001477243462539382,0.027360488582378578,0.01855875771464488,9.777118747248327,0.0,8.232914107644339,1.3191719975200096e-16,7.95568108695521,8.881784197001252e-16,5.19345949074937e-07,3174,12,0.7236373216661142,43,3
walk_forward,level_change,NOR_15Y,NOR,15Y,Hiking,Hiking,oos,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,888,0.5225225225225225,1.0,-0.0029145985971708033,0.002395264154287249,0.0023893668018018024,0.03780699503002144,-0.0024681654072533643,0.5173543774005482,0.3024544006234028,-0.5297285527083954,0.7017836453831441,1.0572651051714073,0.14519530701856032,0.09529398066435468,888,12,0.7236373216661142,43,3
walk_forward,level_change,NOR_1Y,NOR,1Y,GFC,GFC,train,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,773,0.6261319534282018,1.0,0.05759428142791523,0.0028295431287514963,0.003002844369340233,0.03161971333188838,0.05771236177211991,4.569168091261725,2.4483197643698773e-06,4.134927782956587,1.9699585229086636e-05,6.759639084098561,6.916800465717188e-12,1.1546132470786888e-12,773,12,0.7898669733172995,47,2
walk_forward,level_change,NOR_1Y,NOR,1Y,GFC,GFC,oos,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,463,0.46436285097192226,1.0,-0.01570577453116928,0.0008744798774435431,0.0008631923434125272,0.019774799257797116,-0.013076499249740747,-0.4047004920938439,0.6571511597889759,-1.4777265587408321,0.9299188229773581,-0.25858476695233984,0.6020221810993802,0.9430083517755059,463,12,0.7898669733172995,47,2
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_early,ZIRP,train,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,1236,0.45792880258899676,1.0,0.0016154157253602808,0.002196895452461721,0.002201340414644013,0.027719114988719207,0.002019207094333564,1.9314999910044028,0.02671062521506251,1.5700262703239498,0.058332577180581345,0.49742494391679526,0.30944470956374337,0.9985969603510432,1236,12,0.7548704540441938,3,3
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_early,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,829,0.5018094089264173,1.0,-0.00029446300641255974,0.00033544684229400845,0.0003362258986731001,0.011186070797604758,0.0023170623743326013,1.3224356600982747,0.09301156043015135,0.5664100577369635,0.28563427326661156,-0.862200102403563,0.8057112933192578,0.4723133631889247,829,12,0.7548704540441938,3,3
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_late,ZIRP,train,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,2065,0.559322033898305,1.0,0.008213643236291146,0.0014397759701904724,0.0014525849987893464,0.020839869421127893,0.008818092304099023,6.482432138000072,4.512779039345105e-11,5.781787205164131,4.2587670186206425e-09,8.619429831953884,0.0,3.818286926165954e-08,2065,12,0.7526999810295681,25,5
walk_forward,level_change,NOR_1Y,NOR,1Y,ZIRP_late,ZIRP,oos,bd50ee1ef41d,108,v5,2026-06-28T16:53:01.747478+00:00,per_security,False,1,622,0.4212218649517685,1.0,-0.03670352245869313,0.0001256463041709365,0.00012230988745980714,0.00754149277908366,-0.02727838918358705,-2.733367215420929,0.9968654802387249,-3.7419516685363408,0.9999002375560998,-1.4329015366123519,0.9240570109526633,0.9999651722234046,622,12,0.7526999810295681,25,5
