security,horizon,fold,feature,relevance
NOR_10Y,252,ZIRP_early,chg_lag1,0.0
NOR_10Y,252,ZIRP_early,chg_lag2,0.0
NOR_10Y,252,ZIRP_early,chg_lag3,0.0
NOR_10Y,252,ZIRP_early,chg_lag4,0.0
NOR_10Y,252,ZIRP_early,chg_lag5,0.0
NOR_10Y,252,ZIRP_early,carry_roll,0.0
NOR_10Y,252,ZIRP_early,mom_63d,0.0
NOR_10Y,252,ZIRP_early,mom_1m,0.0
NOR_10Y,252,ZIRP_early,mom_3m,0.0
NOR_10Y,252,ZIRP_early,mom_6m,0.0
NOR_10Y,252,ZIRP_early,mom_12m,0.0
NOR_10Y,252,ZIRP_early,dev_ma_3m,0.0
NOR_10Y,252,ZIRP_early,dev_ma_12m,0.0
NOR_10Y,252,ZIRP_early,vol_20d,0.0
NOR_10Y,252,ZIRP_early,vol_regime,100.0
NOR_10Y,252,ZIRP_early,vol_zscore,0.0
NOR_10Y,252,ZIRP_early,level_zscore,0.0
NOR_10Y,252,ZIRP_early,slope_10_1,0.0
NOR_10Y,252,ZIRP_early,slope_10_5,0.0
NOR_10Y,252,ZIRP_early,slope_5_1,0.0
NOR_10Y,252,ZIRP_early,sofr_mom_1m,0.0
NOR_10Y,252,ZIRP_early,ibor_level,0.0
NOR_10Y,252,ZIRP_early,ibor_chg_1d,0.0
NOR_10Y,252,ZIRP_early,ibor_mom_1m,0.0
NOR_10Y,252,ZIRP_early,ibor_term_slope,0.0
NOR_10Y,252,ZIRP_early,swap_ibor_basis,0.0
NOR_10Y,252,ZIRP_early,move_level,0.0
NOR_10Y,252,ZIRP_early,move_zscore,0.0
NOR_10Y,252,ZIRP_early,vix_level,0.0
NOR_10Y,252,ZIRP_early,vix_zscore,0.0
NOR_10Y,252,ZIRP_early,v2x_level,0.0
NOR_10Y,252,ZIRP_early,vxn_level,0.0
NOR_10Y,252,ZIRP_early,ovx_level,0.0
NOR_10Y,252,ZIRP_early,gvz_level,0.0
NOR_10Y,252,ZIRP_early,spx_mom_1m,0.0
NOR_10Y,252,ZIRP_early,spx_mom_3m,0.0
NOR_10Y,252,ZIRP_early,sx5e_mom_1m,0.0
NOR_10Y,252,ZIRP_early,sx5e_mom_3m,0.0
NOR_10Y,252,ZIRP_early,mxwo_mom_1m,0.0
NOR_10Y,252,ZIRP_early,ndx_mom_1m,0.0
NOR_10Y,252,ZIRP_early,oil_mom_1m,0.0
NOR_10Y,252,ZIRP_early,oil_mom_3m,0.0
NOR_10Y,252,ZIRP_early,copper_mom_1m,0.0
NOR_10Y,252,ZIRP_early,opec_prod,0.0
