security,horizon,fold,regime,scheme,feature,importance_type,value,bucket
NOR_10Y,21,Block_GFC,GFC,block_cv,chg_lag1,gain,0.0,momentum
NOR_10Y,21,Block_GFC,GFC,block_cv,chg_lag2,gain,0.0,momentum
NOR_10Y,21,Block_GFC,GFC,block_cv,chg_lag3,gain,0.0,momentum
NOR_10Y,21,Block_GFC,GFC,block_cv,chg_lag4,gain,0.0,momentum
NOR_10Y,21,Block_GFC,GFC,block_cv,chg_lag5,gain,0.0,momentum
NOR_10Y,21,Block_GFC,GFC,block_cv,carry_roll,gain,0.0,carry_roll
NOR_10Y,21,Block_GFC,GFC,block_cv,mom_63d,gain,0.0,momentum
NOR_10Y,21,Block_GFC,GFC,block_cv,mom_1m,gain,0.0,momentum
NOR_10Y,21,Block_GFC,GFC,block_cv,mom_3m,gain,1.7663698196411133,momentum
NOR_10Y,21,Block_GFC,GFC,block_cv,mom_6m,gain,0.0,momentum
NOR_10Y,21,Block_GFC,GFC,block_cv,mom_12m,gain,0.0,momentum
NOR_10Y,21,Block_GFC,GFC,block_cv,dev_ma_3m,gain,0.0,curve
NOR_10Y,21,Block_GFC,GFC,block_cv,dev_ma_12m,gain,0.0,curve
NOR_10Y,21,Block_GFC,GFC,block_cv,vol_20d,gain,0.0,vol
NOR_10Y,21,Block_GFC,GFC,block_cv,vol_regime,gain,0.0,vol
NOR_10Y,21,Block_GFC,GFC,block_cv,vol_zscore,gain,0.0,vol
NOR_10Y,21,Block_GFC,GFC,block_cv,level_zscore,gain,0.0,curve
NOR_10Y,21,Block_GFC,GFC,block_cv,slope_10_1,gain,2.392580986022949,curve
NOR_10Y,21,Block_GFC,GFC,block_cv,slope_10_5,gain,0.0,curve
NOR_10Y,21,Block_GFC,GFC,block_cv,slope_5_1,gain,4.383597373962402,curve
NOR_10Y,21,Block_GFC,GFC,block_cv,sofr_mom_1m,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,ibor_level,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,ibor_chg_1d,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,ibor_mom_1m,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,ibor_term_slope,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,swap_ibor_basis,gain,0.0,curve
NOR_10Y,21,Block_GFC,GFC,block_cv,move_level,gain,0.0,vol
NOR_10Y,21,Block_GFC,GFC,block_cv,move_zscore,gain,0.0,vol
NOR_10Y,21,Block_GFC,GFC,block_cv,vix_level,gain,0.0,vol
NOR_10Y,21,Block_GFC,GFC,block_cv,vix_zscore,gain,0.0,vol
NOR_10Y,21,Block_GFC,GFC,block_cv,v2x_level,gain,0.0,vol
NOR_10Y,21,Block_GFC,GFC,block_cv,vxn_level,gain,0.0,vol
NOR_10Y,21,Block_GFC,GFC,block_cv,ovx_level,gain,0.0,vol
NOR_10Y,21,Block_GFC,GFC,block_cv,gvz_level,gain,0.0,vol
NOR_10Y,21,Block_GFC,GFC,block_cv,spx_mom_1m,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,spx_mom_3m,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,sx5e_mom_1m,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,sx5e_mom_3m,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,mxwo_mom_1m,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,ndx_mom_1m,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,oil_mom_1m,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,oil_mom_3m,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,copper_mom_1m,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,opec_prod,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,natgas_mom_1m,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,be5y_level,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,be10y_level,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,be_slope,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,be5y_chg_1m,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,ig_spread,gain,0.0,credit
NOR_10Y,21,Block_GFC,GFC,block_cv,hy_spread,gain,0.0,credit
NOR_10Y,21,Block_GFC,GFC,block_cv,ig_chg_1m,gain,0.0,credit
NOR_10Y,21,Block_GFC,GFC,block_cv,hy_chg_1m,gain,0.0,credit
NOR_10Y,21,Block_GFC,GFC,block_cv,cpi_yoy,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,pce_core_chg,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,nfp_change,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,pmi_us,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,pmi_eur,gain,3.4372479915618896,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,unemp_eur,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,cpi_nsa_level,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,pce_core_level,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,eur_3m,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,eur_1w,gain,0.0,macro
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_ibor_1m,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_ibor_6m,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_ecb_dfr_chg,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_ecb_dfr_level,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_eurnok_chg_1d,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_eurnok_level,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_eurnok_mom_1m,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_eurnok_mom_3m,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_eurnok_rvol_20d,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_govt_10y,gain,5.565339088439941,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_govt_3y,gain,2.8845460414886475,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_govt_5y,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_i44_chg_1d,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_i44_level,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_i44_mom_1m,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_i44_mom_3m,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_i44_rvol_20d,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_kpi_yoy,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_kpijae_yoy,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_nibor_nowa_spread,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_nowa_level,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_polrate_chg_1d,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_polrate_days_since_chg,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_polrate_level,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_rb_rate_chg,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_rb_rate_level,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_unemp,gain,3.3454604148864746,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_usdnok_chg_1d,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_usdnok_level,gain,0.0,norway
NOR_10Y,21,Block_GFC,GFC,block_cv,nor_usdnok_mom_1m,gain,0.0,norway
