learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.01,3,0.8,0.8,1.0,1,0.0028151792227662526,23,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,0.8,0.8,1.0,5,0.002812942776135145,26,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,0.8,0.8,5.0,1,0.002812854459492439,13,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,0.8,0.8,5.0,5,0.002811958132837404,20,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,0.8,0.8,10.0,1,0.0028067678547010343,38,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,0.8,0.8,10.0,5,0.002808262413657096,38,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,0.8,1.0,1.0,1,0.0028132831999389367,27,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,0.8,1.0,1.0,5,0.0028122153248713445,25,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,0.8,1.0,5.0,1,0.002811698754881206,14,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,0.8,1.0,5.0,5,0.002810969150867406,32,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,0.8,1.0,10.0,1,0.0028059554657577255,38,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,0.8,1.0,10.0,5,0.0028052082280335803,36,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,1.0,0.8,1.0,1,0.0028153693626603834,4,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,1.0,0.8,1.0,5,0.0028082513495012625,13,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,1.0,0.8,5.0,1,0.002799486564281185,55,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,1.0,0.8,5.0,5,0.002799259639632086,55,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,1.0,0.8,10.0,1,0.0027976280393060223,50,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,1.0,0.8,10.0,5,0.0027941211190310425,50,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,1.0,1.0,1.0,1,0.002812529339346099,10,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,1.0,1.0,1.0,5,0.0028124276390968967,9,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,1.0,1.0,5.0,1,0.002801465747015972,58,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,1.0,1.0,5.0,5,0.00280494533567339,52,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,1.0,1.0,10.0,1,0.002800241953202359,48,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,1.0,1.0,10.0,5,0.0028011852696782557,46,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,5,0.8,0.8,1.0,1,0.002810100620383238,8,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,5,0.8,0.8,1.0,5,0.002813901061280348,18,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,5,0.8,0.8,5.0,1,0.0027949198686518105,24,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,5,0.8,0.8,5.0,5,0.0027856717926598527,24,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,5,0.8,0.8,10.0,1,0.002811484515452283,14,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,5,0.8,0.8,10.0,5,0.002810530034793968,14,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,5,0.8,1.0,1.0,1,0.0028209402547689374,30,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,5,0.8,1.0,1.0,5,0.0027946857601691736,30,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,5,0.8,1.0,5.0,1,0.002797205711380599,27,False,NOR_10Y,5,GFC,GFC,walk_forward
0.01,5,0.8,1.0,5.0,5,0.0027901777276475026,37,False,NOR_10Y,5,GFC,GFC,walk_forward
