notebook,run_ts,model_kind,is_pooled,validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,pca_k,xm_pca_evr,xgb_n_trees,xgb_max_depth,xgb_lr
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,train,6c13b305b09a,108,63,909,0.8954895489548955,1.0,0.49007976741281123,0.04676079490014663,0.09170303134213421,0.167864650147648,0.4900845237526871,2.731024126855088,0.003156892464079797,2.5504540488172314,0.005460704396774144,24.01753907573885,0.0,1.8016266956755842e-143,14,12,0.7831158331941945,4,5,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,GFC,GFC,oos,6c13b305b09a,108,63,625,0.5312,1.0,-0.10738190272982351,0.05867867351584715,0.057620139784000005,0.19215952883174897,-0.018370898366704136,-0.25159054947741033,0.5993212179345753,-0.5777486628572669,0.718178883758424,2.6780442199416057,0.003702672049295752,0.06422212342263976,10,12,0.7831158331941945,4,5,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_early,ZIRP,train,098a0d9ca84a,108,63,1538,0.8914174252275683,1.0,0.8470538819286338,0.01154224588561335,0.0766523305526658,0.08380503010818063,0.8494208094862429,3.4618210998184047,0.0002682668357061324,3.4403719031300084,0.00029823131886861655,31.103026239480716,0.0,1.1306086833234822e-235,24,12,0.7380947084243953,16,5,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_early,ZIRP,oos,098a0d9ca84a,108,63,1008,0.48908730158730157,1.0,-0.07663258377967863,0.06409220662538802,0.06297043302579365,0.2093457524076123,-0.017814290702667934,0.054092328960027705,0.47843080195222343,-0.45959159165857993,0.677045701697021,1.7662132559336585,0.03868003897240313,0.7655909314081297,16,12,0.7380947084243953,16,5,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_late,ZIRP,train,3080be85df7f,108,63,2542,0.8450039339103068,1.0,0.6291787529715518,0.025483486309760522,0.0707628983988985,0.1259874440741841,0.6398750349921054,4.542670278096075,2.777304818346593e-06,4.465817109470813,4.1624546750330796e-06,34.82045130826887,0.0,2.1398478121000708e-291,40,12,0.7361971162064033,11,5,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_late,ZIRP,oos,3080be85df7f,108,63,782,0.5179028132992327,1.0,-0.9306637685723946,0.0629050328614675,0.03266297895140665,0.200070027118887,-0.9258816825940015,-0.7096469830792874,0.7610384616669517,-2.679914435556551,0.9962403899817482,-0.42217356736112743,0.6635508332752568,0.1671444945315351,12,12,0.7361971162064033,11,5,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,COVID,COVID,train,777400f63a46,108,63,3324,0.5716004813477737,1.0,0.09994947754876038,0.05475822763641763,0.06192945618231047,0.18227719724999628,0.11579673047316741,3.419704258335289,0.00031344624453744085,2.985899575444232,0.001424044353970648,,,7.742789098913292e-17,53,12,0.7238366695632182,2,5,0.05
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,COVID,COVID,oos,777400f63a46,108,63,541,0.40850277264325324,1.0,-0.05253371281495656,0.12510263792281653,0.12014267273567465,0.2802019665472609,-0.04128395909798255,-0.7211770648798681,0.7645997095393906,-0.8073368417472551,0.7900860480224579,,,0.9999918763163261,9,12,0.7238366695632182,2,5,0.05
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,Hiking,Hiking,train,4c32037b59ca,108,63,3854,0.5550077841203944,1.0,0.0474776296646896,0.06453185126038001,0.06854568723144784,0.19708486018028862,0.058557089923322536,2.4696599788247413,0.006762076596362854,2.058383207082406,0.01981023065324834,,,4.537928298327127e-12,61,12,0.7144631611342906,1,5,0.05
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_10Y,NOR,10Y,Hiking,Hiking,oos,4c32037b59ca,108,63,1076,0.3243494423791822,1.0,-0.1544815636952237,0.12894960190678625,0.12086317765799258,0.2836249899137613,-0.06690560686461411,-1.4070660869553089,0.9202961034513835,-1.712446550896232,0.9564486063275526,,,1.0,17,12,0.7144631611342906,1,5,0.05
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,GFC,GFC,train,2def53669a55,108,63,895,0.8178770949720671,1.0,0.4293262537263899,0.042098698789661264,0.07377221452513966,0.15960236541473372,0.4293420760018649,2.52698585172065,0.005752306864509893,2.344559375963102,0.00963378944246257,19.14124566791296,0.0,4.992128095448519e-87,14,12,0.7838057875741801,5,3,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,GFC,GFC,oos,2def53669a55,108,63,622,0.4694533762057878,1.0,-0.06616167970797115,0.05182289064022302,0.049118116961414784,0.1844347194732104,-0.055066721733917356,-0.21452837988143184,0.5849324809300038,-0.7175950786129663,0.7633615821883635,-1.7152641276846363,0.9568515938566883,0.9410983064445513,10,12,0.7838057875741801,5,3,0.1
xgboost_v5,2026-06-29T16:18:15.343317+00:00,per_security,False,walk_forward,level_change,NOR_15Y,NOR,15Y,ZIRP_early,ZIRP,train,85d067d9ee45,108,63,1516,0.7176781002638523,1.0,0.09859846959351004,0.0563362248062042,0.06272541276385224,0.1842591079210661,0.10185963991503677,2.0721238381754303,0.019126946876175444,1.9369899946951616,0.02646613904225096,19.20761222125607,0.0,1.1008123580690896e-66,24,12,0.7395425327993709,1,3,0.1
