security,horizon,fold,regime,scheme,feature,importance_type,value,bucket
NOR_10Y,126,GFC,GFC,walk_forward,chg_lag1,gain,0.00020126831077504903,momentum
NOR_10Y,126,GFC,GFC,walk_forward,chg_lag2,gain,0.005888553336262703,momentum
NOR_10Y,126,GFC,GFC,walk_forward,chg_lag3,gain,0.0,momentum
NOR_10Y,126,GFC,GFC,walk_forward,chg_lag4,gain,0.0,momentum
NOR_10Y,126,GFC,GFC,walk_forward,chg_lag5,gain,0.0,momentum
NOR_10Y,126,GFC,GFC,walk_forward,carry_roll,gain,0.0,carry_roll
NOR_10Y,126,GFC,GFC,walk_forward,mom_63d,gain,0.0,momentum
NOR_10Y,126,GFC,GFC,walk_forward,mom_1m,gain,0.0,momentum
NOR_10Y,126,GFC,GFC,walk_forward,mom_3m,gain,0.0,momentum
NOR_10Y,126,GFC,GFC,walk_forward,mom_6m,gain,0.0,momentum
NOR_10Y,126,GFC,GFC,walk_forward,mom_12m,gain,6.525681972503662,momentum
NOR_10Y,126,GFC,GFC,walk_forward,dev_ma_3m,gain,0.0,curve
NOR_10Y,126,GFC,GFC,walk_forward,dev_ma_12m,gain,0.0,curve
NOR_10Y,126,GFC,GFC,walk_forward,vol_20d,gain,0.0,vol
NOR_10Y,126,GFC,GFC,walk_forward,vol_regime,gain,0.0,vol
NOR_10Y,126,GFC,GFC,walk_forward,vol_zscore,gain,0.0,vol
NOR_10Y,126,GFC,GFC,walk_forward,level_zscore,gain,0.0,curve
NOR_10Y,126,GFC,GFC,walk_forward,slope_10_1,gain,0.0,curve
NOR_10Y,126,GFC,GFC,walk_forward,slope_10_5,gain,9.635774612426758,curve
NOR_10Y,126,GFC,GFC,walk_forward,slope_5_1,gain,0.0,curve
NOR_10Y,126,GFC,GFC,walk_forward,sofr_mom_1m,gain,0.0,macro
NOR_10Y,126,GFC,GFC,walk_forward,ibor_level,gain,1.328262448310852,macro
NOR_10Y,126,GFC,GFC,walk_forward,ibor_chg_1d,gain,0.0,macro
NOR_10Y,126,GFC,GFC,walk_forward,ibor_mom_1m,gain,0.0,macro
NOR_10Y,126,GFC,GFC,walk_forward,ibor_term_slope,gain,0.0,macro
NOR_10Y,126,GFC,GFC,walk_forward,swap_ibor_basis,gain,0.0,curve
NOR_10Y,126,GFC,GFC,walk_forward,move_level,gain,0.0,vol
NOR_10Y,126,GFC,GFC,walk_forward,move_zscore,gain,0.0,vol
NOR_10Y,126,GFC,GFC,walk_forward,vix_level,gain,0.0,vol
NOR_10Y,126,GFC,GFC,walk_forward,vix_zscore,gain,0.0,vol
NOR_10Y,126,GFC,GFC,walk_forward,v2x_level,gain,0.0,vol
NOR_10Y,126,GFC,GFC,walk_forward,vxn_level,gain,0.0,vol
NOR_10Y,126,GFC,GFC,walk_forward,ovx_level,gain,0.029170358553528786,vol
NOR_10Y,126,GFC,GFC,walk_forward,gvz_level,gain,0.0,vol
NOR_10Y,126,GFC,GFC,walk_forward,spx_mom_1m,gain,0.0,macro
NOR_10Y,126,GFC,GFC,walk_forward,spx_mom_3m,gain,0.0,macro
NOR_10Y,126,GFC,GFC,walk_forward,sx5e_mom_1m,gain,0.0,macro
