security,horizon,scheme,fold,use_categoricals,bucket,shap_abs,shap_share_pct
__POOL__,21,walk_forward,GFC,True,momentum,0.01917663495260058,10.040590633202354
__POOL__,21,walk_forward,GFC,True,carry_roll,0.004621365573257208,2.4196758191487393
__POOL__,21,walk_forward,GFC,True,curve,0.028056454262696207,14.689927224833337
__POOL__,21,walk_forward,GFC,True,vol,0.015957443407387473,8.355071533775183
__POOL__,21,walk_forward,GFC,True,macro,0.0960279570572311,50.27875894480844
__POOL__,21,walk_forward,GFC,True,credit,0.0,0.0
__POOL__,21,walk_forward,GFC,True,cross_market,0.00674304918584312,3.53055667284409
__POOL__,21,walk_forward,GFC,True,categorical,0.020408200100064278,10.685419171387858
__POOL__,21,walk_forward,ZIRP_early,True,momentum,0.005544229415136215,6.301887722411406
__POOL__,21,walk_forward,ZIRP_early,True,carry_roll,0.0031898650340735912,3.62578273537837
__POOL__,21,walk_forward,ZIRP_early,True,curve,0.011796944891102612,13.409081155307314
__POOL__,21,walk_forward,ZIRP_early,True,vol,0.004147713173551892,4.714527622744221
__POOL__,21,walk_forward,ZIRP_early,True,macro,0.054665473314798874,62.13589830569367
__POOL__,21,walk_forward,ZIRP_early,True,credit,0.0,0.0
__POOL__,21,walk_forward,ZIRP_early,True,cross_market,0.0008701726802655685,0.989087954256071
__POOL__,21,walk_forward,ZIRP_early,True,categorical,0.007762881622852547,8.823734504208945
__POOL__,21,walk_forward,ZIRP_late,True,momentum,0.0023122673867419508,8.850990355495615
__POOL__,21,walk_forward,ZIRP_late,True,carry_roll,0.0005208486691117287,1.9937255411781305
__POOL__,21,walk_forward,ZIRP_late,True,curve,0.008225094376030029,31.484347966288002
__POOL__,21,walk_forward,ZIRP_late,True,vol,0.00282118429277034,10.799043012741624
__POOL__,21,walk_forward,ZIRP_late,True,macro,0.008646611025142192,33.0978463953038
__POOL__,21,walk_forward,ZIRP_late,True,credit,0.0,0.0
__POOL__,21,walk_forward,ZIRP_late,True,cross_market,4.567229552776553e-06,0.0174826254760783
__POOL__,21,walk_forward,ZIRP_late,True,categorical,0.0035938186861130816,13.756564103516753
__POOL__,21,walk_forward,COVID,True,momentum,0.0041824558857115335,3.3715605108669844
__POOL__,21,walk_forward,COVID,True,carry_roll,0.007876653224229813,6.349526138298634
__POOL__,21,walk_forward,COVID,True,curve,0.06343471640138887,51.1359810315331
__POOL__,21,walk_forward,COVID,True,vol,0.0059860676192329265,4.8254876445521155
__POOL__,21,walk_forward,COVID,True,macro,0.031084887777524273,25.05814358340875
__POOL__,21,walk_forward,COVID,True,credit,0.0,0.0
__POOL__,21,walk_forward,COVID,True,cross_market,0.001193300271552289,0.9619429787453913
__POOL__,21,walk_forward,COVID,True,categorical,0.010292959050275385,8.297358112595031
__POOL__,21,walk_forward,Hiking,True,momentum,0.00011900803747266764,0.5369903216481767
__POOL__,21,walk_forward,Hiking,True,carry_roll,2.6179408450843766e-05,0.11812722285926518
__POOL__,21,walk_forward,Hiking,True,curve,0.017031692288583145,76.85072466100911
__POOL__,21,walk_forward,Hiking,True,vol,0.000481137860333547,2.1709993699960433
__POOL__,21,walk_forward,Hiking,True,macro,0.0036289294439484365,16.37452419793045
__POOL__,21,walk_forward,Hiking,True,credit,0.0,0.0
__POOL__,21,walk_forward,Hiking,True,cross_market,7.709138299105689e-05,0.3478531990595851
__POOL__,21,walk_forward,Hiking,True,categorical,0.0007980067166499794,3.6007810274973715
