security,horizon,scheme,fold,use_categoricals,bucket,shap_abs,shap_share_pct
__POOL__,252,walk_forward,GFC,True,momentum,0.07282940586446784,4.242325548017186
__POOL__,252,walk_forward,GFC,True,carry_roll,0.07969505339860916,4.642250710004251
__POOL__,252,walk_forward,GFC,True,curve,0.1832552095875144,10.674647804859406
__POOL__,252,walk_forward,GFC,True,vol,0.03286796597967623,1.9145647301644242
__POOL__,252,walk_forward,GFC,True,macro,0.9265190564401564,53.96989604961916
__POOL__,252,walk_forward,GFC,True,credit,0.0,0.0
__POOL__,252,walk_forward,GFC,True,cross_market,0.04222224943805486,2.459453367217487
__POOL__,252,walk_forward,GFC,True,categorical,0.3793441350571811,22.096861790118087
__POOL__,252,walk_forward,ZIRP_early,True,momentum,1.800054633349646e-05,0.2258578459385292
__POOL__,252,walk_forward,ZIRP_early,True,carry_roll,0.0,0.0
__POOL__,252,walk_forward,ZIRP_early,True,curve,0.001313748701250006,16.483969223573624
__POOL__,252,walk_forward,ZIRP_early,True,vol,2.7344176487531513e-05,0.34309496423141217
__POOL__,252,walk_forward,ZIRP_early,True,macro,0.0048090220807353035,60.34013346608922
__POOL__,252,walk_forward,ZIRP_early,True,credit,0.0,0.0
__POOL__,252,walk_forward,ZIRP_early,True,cross_market,0.00027021343703381717,3.390442917753919
__POOL__,252,walk_forward,ZIRP_early,True,categorical,0.0015315276104956865,19.216501582413294
__POOL__,252,walk_forward,ZIRP_late,True,momentum,7.59789552375878e-05,0.5657444178101965
__POOL__,252,walk_forward,ZIRP_late,True,carry_roll,2.0205790860927664e-05,0.15045367959146255
__POOL__,252,walk_forward,ZIRP_late,True,curve,0.0015041374172142241,11.199908510816346
__POOL__,252,walk_forward,ZIRP_late,True,vol,2.542788024584297e-06,0.018933770885434655
__POOL__,252,walk_forward,ZIRP_late,True,macro,0.00872568516388128,64.97203939694248
__POOL__,252,walk_forward,ZIRP_late,True,credit,0.0,0.0
__POOL__,252,walk_forward,ZIRP_late,True,cross_market,0.0,0.0
__POOL__,252,walk_forward,ZIRP_late,True,categorical,0.0031013579573482275,23.09292022395408
__POOL__,252,walk_forward,COVID,True,momentum,0.005986915668472648,0.9371342299724079
__POOL__,252,walk_forward,COVID,True,carry_roll,0.025799840688705444,4.038459062408829
__POOL__,252,walk_forward,COVID,True,curve,0.08490868622902781,13.290789564020782
__POOL__,252,walk_forward,COVID,True,vol,0.028105418430641294,4.399352039941245
__POOL__,252,walk_forward,COVID,True,macro,0.3455404760752572,54.08758464334544
__POOL__,252,walk_forward,COVID,True,credit,0.0,0.0
__POOL__,252,walk_forward,COVID,True,cross_market,0.05863124970346689,9.177572240164158
__POOL__,252,walk_forward,COVID,True,categorical,0.08988100290298462,14.069108220147141
__POOL__,252,walk_forward,Hiking,True,momentum,0.0,0.0
__POOL__,252,walk_forward,Hiking,True,carry_roll,0.0,0.0
__POOL__,252,walk_forward,Hiking,True,curve,0.014766976237297058,4.58068390911336
__POOL__,252,walk_forward,Hiking,True,vol,0.0,0.0
__POOL__,252,walk_forward,Hiking,True,macro,0.23888045374769717,74.10019716291379
__POOL__,252,walk_forward,Hiking,True,credit,0.0,0.0
__POOL__,252,walk_forward,Hiking,True,cross_market,0.0,0.0
__POOL__,252,walk_forward,Hiking,True,categorical,0.06872749328613281,21.319118927972855
