security,horizon,scheme,fold,use_categoricals,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected
__POOL__,21,walk_forward,GFC,True,0.01,3,0.8,0.8,1.0,1,0.13362840538221743,219,False
__POOL__,21,walk_forward,GFC,True,0.01,3,0.8,0.8,1.0,5,0.13362920898812042,219,False
__POOL__,21,walk_forward,GFC,True,0.01,3,0.8,0.8,5.0,1,0.13348282301944972,228,False
__POOL__,21,walk_forward,GFC,True,0.01,3,0.8,0.8,5.0,5,0.133483023820873,228,False
__POOL__,21,walk_forward,GFC,True,0.01,3,0.8,0.8,10.0,1,0.13367617138941223,254,False
__POOL__,21,walk_forward,GFC,True,0.01,3,0.8,0.8,10.0,5,0.13367817884633837,254,False
__POOL__,21,walk_forward,GFC,True,0.01,3,0.8,1.0,1.0,1,0.133489063070364,217,False
__POOL__,21,walk_forward,GFC,True,0.01,3,0.8,1.0,1.0,5,0.1334905274172056,217,False
__POOL__,21,walk_forward,GFC,True,0.01,3,0.8,1.0,5.0,1,0.1335407699335723,227,False
__POOL__,21,walk_forward,GFC,True,0.01,3,0.8,1.0,5.0,5,0.13353728678344604,227,False
__POOL__,21,walk_forward,GFC,True,0.01,3,0.8,1.0,10.0,1,0.13383481240190684,223,False
__POOL__,21,walk_forward,GFC,True,0.01,3,0.8,1.0,10.0,5,0.13383056335296104,223,False
__POOL__,21,walk_forward,GFC,True,0.01,3,1.0,0.8,1.0,1,0.13384275683694066,206,False
__POOL__,21,walk_forward,GFC,True,0.01,3,1.0,0.8,1.0,5,0.13378150499981775,209,False
__POOL__,21,walk_forward,GFC,True,0.01,3,1.0,0.8,5.0,1,0.1337573884438489,184,False
__POOL__,21,walk_forward,GFC,True,0.01,3,1.0,0.8,5.0,5,0.13375672800528995,184,False
__POOL__,21,walk_forward,GFC,True,0.01,3,1.0,0.8,10.0,1,0.13401966501394433,220,False
__POOL__,21,walk_forward,GFC,True,0.01,3,1.0,0.8,10.0,5,0.13401966501394433,220,False
__POOL__,21,walk_forward,GFC,True,0.01,3,1.0,1.0,1.0,1,0.13403138585290278,196,False
__POOL__,21,walk_forward,GFC,True,0.01,3,1.0,1.0,1.0,5,0.13403138585290278,196,False
__POOL__,21,walk_forward,GFC,True,0.01,3,1.0,1.0,5.0,1,0.13421992041155195,197,False
__POOL__,21,walk_forward,GFC,True,0.01,3,1.0,1.0,5.0,5,0.13421992041155195,197,False
__POOL__,21,walk_forward,GFC,True,0.01,3,1.0,1.0,10.0,1,0.13411256476277483,198,False
__POOL__,21,walk_forward,GFC,True,0.01,3,1.0,1.0,10.0,5,0.13411256476277483,198,False
__POOL__,21,walk_forward,GFC,True,0.01,5,0.8,0.8,1.0,1,0.12610980574947941,164,False
__POOL__,21,walk_forward,GFC,True,0.01,5,0.8,0.8,1.0,5,0.12599985391188315,164,False
__POOL__,21,walk_forward,GFC,True,0.01,5,0.8,0.8,5.0,1,0.12789464960608454,164,False
__POOL__,21,walk_forward,GFC,True,0.01,5,0.8,0.8,5.0,5,0.12809529965969702,149,False
__POOL__,21,walk_forward,GFC,True,0.01,5,0.8,0.8,10.0,1,0.12838242035178132,181,False
__POOL__,21,walk_forward,GFC,True,0.01,5,0.8,0.8,10.0,5,0.12843138410331104,157,False
__POOL__,21,walk_forward,GFC,True,0.01,5,0.8,1.0,1.0,1,0.12845051180489167,164,False
__POOL__,21,walk_forward,GFC,True,0.01,5,0.8,1.0,1.0,5,0.1288671680440771,152,False
__POOL__,21,walk_forward,GFC,True,0.01,5,0.8,1.0,5.0,1,0.12828289583933347,164,False
__POOL__,21,walk_forward,GFC,True,0.01,5,0.8,1.0,5.0,5,0.12891337318331195,149,False
__POOL__,21,walk_forward,GFC,True,0.01,5,0.8,1.0,10.0,1,0.1291550516287705,164,False
__POOL__,21,walk_forward,GFC,True,0.01,5,0.8,1.0,10.0,5,0.1296325922361431,164,False
__POOL__,21,walk_forward,GFC,True,0.01,5,1.0,0.8,1.0,1,0.13059878472589181,140,False
__POOL__,21,walk_forward,GFC,True,0.01,5,1.0,0.8,1.0,5,0.13057946577434837,146,False
__POOL__,21,walk_forward,GFC,True,0.01,5,1.0,0.8,5.0,1,0.13040586348166391,141,False
__POOL__,21,walk_forward,GFC,True,0.01,5,1.0,0.8,5.0,5,0.13034495645662916,146,False
__POOL__,21,walk_forward,GFC,True,0.01,5,1.0,0.8,10.0,1,0.12907554142897049,210,False
__POOL__,21,walk_forward,GFC,True,0.01,5,1.0,0.8,10.0,5,0.1299584813759129,157,False
__POOL__,21,walk_forward,GFC,True,0.01,5,1.0,1.0,1.0,1,0.13090925320645833,125,False
__POOL__,21,walk_forward,GFC,True,0.01,5,1.0,1.0,1.0,5,0.13081637469836102,136,False
__POOL__,21,walk_forward,GFC,True,0.01,5,1.0,1.0,5.0,1,0.13058172937471874,141,False
__POOL__,21,walk_forward,GFC,True,0.01,5,1.0,1.0,5.0,5,0.13005985629969513,132,False
__POOL__,21,walk_forward,GFC,True,0.01,5,1.0,1.0,10.0,1,0.131029454253808,143,False
__POOL__,21,walk_forward,GFC,True,0.01,5,1.0,1.0,10.0,5,0.1308367518510659,151,False
__POOL__,21,walk_forward,GFC,True,0.05,3,0.8,0.8,1.0,1,0.13285316962868896,43,False
__POOL__,21,walk_forward,GFC,True,0.05,3,0.8,0.8,1.0,5,0.13286622280832364,43,False
__POOL__,21,walk_forward,GFC,True,0.05,3,0.8,0.8,5.0,1,0.13294514844250807,38,False
__POOL__,21,walk_forward,GFC,True,0.05,3,0.8,0.8,5.0,5,0.1329451135196193,38,False
__POOL__,21,walk_forward,GFC,True,0.05,3,0.8,0.8,10.0,1,0.13291774490837055,53,False
__POOL__,21,walk_forward,GFC,True,0.05,3,0.8,0.8,10.0,5,0.13282418245925348,55,False
__POOL__,21,walk_forward,GFC,True,0.05,3,0.8,1.0,1.0,1,0.13409670299539747,38,False
__POOL__,21,walk_forward,GFC,True,0.05,3,0.8,1.0,1.0,5,0.13409670299539747,38,False
__POOL__,21,walk_forward,GFC,True,0.05,3,0.8,1.0,5.0,1,0.13370618883050478,48,False
__POOL__,21,walk_forward,GFC,True,0.05,3,0.8,1.0,5.0,5,0.13356464278922547,49,False
__POOL__,21,walk_forward,GFC,True,0.05,3,0.8,1.0,10.0,1,0.13408102922444778,51,False
__POOL__,21,walk_forward,GFC,True,0.05,3,0.8,1.0,10.0,5,0.13408542366773532,51,False
__POOL__,21,walk_forward,GFC,True,0.05,3,1.0,0.8,1.0,1,0.13401545049595123,44,False
__POOL__,21,walk_forward,GFC,True,0.05,3,1.0,0.8,1.0,5,0.13400985479656807,44,False
__POOL__,21,walk_forward,GFC,True,0.05,3,1.0,0.8,5.0,1,0.1332425515290969,43,False
__POOL__,21,walk_forward,GFC,True,0.05,3,1.0,0.8,5.0,5,0.1332451469684724,43,False
__POOL__,21,walk_forward,GFC,True,0.05,3,1.0,0.8,10.0,1,0.13421942266768053,39,False
__POOL__,21,walk_forward,GFC,True,0.05,3,1.0,0.8,10.0,5,0.13421942266768053,39,False
__POOL__,21,walk_forward,GFC,True,0.05,3,1.0,1.0,1.0,1,0.13448947529303262,36,False
__POOL__,21,walk_forward,GFC,True,0.05,3,1.0,1.0,1.0,5,0.13448947529303262,36,False
__POOL__,21,walk_forward,GFC,True,0.05,3,1.0,1.0,5.0,1,0.1342095860106631,41,False
__POOL__,21,walk_forward,GFC,True,0.05,3,1.0,1.0,5.0,5,0.1342095860106631,41,False
__POOL__,21,walk_forward,GFC,True,0.05,3,1.0,1.0,10.0,1,0.1343001645123457,41,False
__POOL__,21,walk_forward,GFC,True,0.05,3,1.0,1.0,10.0,5,0.13424974093877,42,False
__POOL__,21,walk_forward,GFC,True,0.05,5,0.8,0.8,1.0,1,0.13090411859332754,29,False
__POOL__,21,walk_forward,GFC,True,0.05,5,0.8,0.8,1.0,5,0.13003461563661536,29,False
__POOL__,21,walk_forward,GFC,True,0.05,5,0.8,0.8,5.0,1,0.13003830328258484,31,False
__POOL__,21,walk_forward,GFC,True,0.05,5,0.8,0.8,5.0,5,0.13001847748951592,31,False
__POOL__,21,walk_forward,GFC,True,0.05,5,0.8,0.8,10.0,1,0.13017871920820262,31,False
__POOL__,21,walk_forward,GFC,True,0.05,5,0.8,0.8,10.0,5,0.13048459770220314,31,False
__POOL__,21,walk_forward,GFC,True,0.05,5,0.8,1.0,1.0,1,0.13029848052125897,29,False
__POOL__,21,walk_forward,GFC,True,0.05,5,0.8,1.0,1.0,5,0.12943626426171978,29,False
__POOL__,21,walk_forward,GFC,True,0.05,5,0.8,1.0,5.0,1,0.12982704652835678,31,False
__POOL__,21,walk_forward,GFC,True,0.05,5,0.8,1.0,5.0,5,0.12976391418983024,31,False
__POOL__,21,walk_forward,GFC,True,0.05,5,0.8,1.0,10.0,1,0.13027440036326343,40,False
__POOL__,21,walk_forward,GFC,True,0.05,5,0.8,1.0,10.0,5,0.13083477829491022,28,False
__POOL__,21,walk_forward,GFC,True,0.05,5,1.0,0.8,1.0,1,0.13226749312517208,20,False
__POOL__,21,walk_forward,GFC,True,0.05,5,1.0,0.8,1.0,5,0.13243109067215253,42,False
__POOL__,21,walk_forward,GFC,True,0.05,5,1.0,0.8,5.0,1,0.13129861907913787,34,False
__POOL__,21,walk_forward,GFC,True,0.05,5,1.0,0.8,5.0,5,0.13133767401228652,34,False
__POOL__,21,walk_forward,GFC,True,0.05,5,1.0,0.8,10.0,1,0.13187895976405367,33,False
__POOL__,21,walk_forward,GFC,True,0.05,5,1.0,0.8,10.0,5,0.13164411272584559,31,False
__POOL__,21,walk_forward,GFC,True,0.05,5,1.0,1.0,1.0,1,0.13057461840839452,27,False
__POOL__,21,walk_forward,GFC,True,0.05,5,1.0,1.0,1.0,5,0.1305785469553617,27,False
__POOL__,21,walk_forward,GFC,True,0.05,5,1.0,1.0,5.0,1,0.1304043371340151,26,False
__POOL__,21,walk_forward,GFC,True,0.05,5,1.0,1.0,5.0,5,0.130500507031048,30,False
__POOL__,21,walk_forward,GFC,True,0.05,5,1.0,1.0,10.0,1,0.12894745478769992,29,False
__POOL__,21,walk_forward,GFC,True,0.05,5,1.0,1.0,10.0,5,0.13087838176693037,28,False
__POOL__,21,walk_forward,GFC,True,0.1,3,0.8,0.8,1.0,1,0.13326798772135356,26,False
__POOL__,21,walk_forward,GFC,True,0.1,3,0.8,0.8,1.0,5,0.13410477880559862,27,False
__POOL__,21,walk_forward,GFC,True,0.1,3,0.8,0.8,5.0,1,0.13316169981625872,26,False
__POOL__,21,walk_forward,GFC,True,0.1,3,0.8,0.8,5.0,5,0.1339083417483316,25,False
__POOL__,21,walk_forward,GFC,True,0.1,3,0.8,0.8,10.0,1,0.1344040908024402,18,False
__POOL__,21,walk_forward,GFC,True,0.1,3,0.8,0.8,10.0,5,0.13441002756743356,18,False
__POOL__,21,walk_forward,GFC,True,0.1,3,0.8,1.0,1.0,1,0.13395669746596997,25,False
__POOL__,21,walk_forward,GFC,True,0.1,3,0.8,1.0,1.0,5,0.13395669746596997,25,False
__POOL__,21,walk_forward,GFC,True,0.1,3,0.8,1.0,5.0,1,0.13385746234785295,26,False
__POOL__,21,walk_forward,GFC,True,0.1,3,0.8,1.0,5.0,5,0.13385746234785295,26,False
__POOL__,21,walk_forward,GFC,True,0.1,3,0.8,1.0,10.0,1,0.1334082017653866,23,False
__POOL__,21,walk_forward,GFC,True,0.1,3,0.8,1.0,10.0,5,0.1334145160998621,23,False
__POOL__,21,walk_forward,GFC,True,0.1,3,1.0,0.8,1.0,1,0.1299248621760178,106,False
__POOL__,21,walk_forward,GFC,True,0.1,3,1.0,0.8,1.0,5,0.1287747690833956,81,False
__POOL__,21,walk_forward,GFC,True,0.1,3,1.0,0.8,5.0,1,0.13342677898264124,24,False
__POOL__,21,walk_forward,GFC,True,0.1,3,1.0,0.8,5.0,5,0.13342743095672832,23,False
__POOL__,21,walk_forward,GFC,True,0.1,3,1.0,0.8,10.0,1,0.13445523633754136,20,False
__POOL__,21,walk_forward,GFC,True,0.1,3,1.0,0.8,10.0,5,0.13438634653019688,34,False
__POOL__,21,walk_forward,GFC,True,0.1,3,1.0,1.0,1.0,1,0.13375038453690788,16,False
__POOL__,21,walk_forward,GFC,True,0.1,3,1.0,1.0,1.0,5,0.13375038453690788,16,False
__POOL__,21,walk_forward,GFC,True,0.1,3,1.0,1.0,5.0,1,0.13357991530343843,18,False
__POOL__,21,walk_forward,GFC,True,0.1,3,1.0,1.0,5.0,5,0.13357991530343843,18,False
__POOL__,21,walk_forward,GFC,True,0.1,3,1.0,1.0,10.0,1,0.13441827767125542,17,False
__POOL__,21,walk_forward,GFC,True,0.1,3,1.0,1.0,10.0,5,0.13441827767125542,17,False
__POOL__,21,walk_forward,GFC,True,0.1,5,0.8,0.8,1.0,1,0.12780779846107254,16,False
__POOL__,21,walk_forward,GFC,True,0.1,5,0.8,0.8,1.0,5,0.12725210744106893,18,False
__POOL__,21,walk_forward,GFC,True,0.1,5,0.8,0.8,5.0,1,0.12961532290373412,16,False
__POOL__,21,walk_forward,GFC,True,0.1,5,0.8,0.8,5.0,5,0.12859974820936326,36,False
__POOL__,21,walk_forward,GFC,True,0.1,5,0.8,0.8,10.0,1,0.12700609628760745,31,False
__POOL__,21,walk_forward,GFC,True,0.1,5,0.8,0.8,10.0,5,0.13191172864602374,28,False
__POOL__,21,walk_forward,GFC,True,0.1,5,0.8,1.0,1.0,1,0.12395396454049243,53,True
__POOL__,21,walk_forward,GFC,True,0.1,5,0.8,1.0,1.0,5,0.12680440333484028,15,False
__POOL__,21,walk_forward,GFC,True,0.1,5,0.8,1.0,5.0,1,0.13135901461822863,15,False
__POOL__,21,walk_forward,GFC,True,0.1,5,0.8,1.0,5.0,5,0.12826787543691714,16,False
__POOL__,21,walk_forward,GFC,True,0.1,5,0.8,1.0,10.0,1,0.1295767372488488,16,False
__POOL__,21,walk_forward,GFC,True,0.1,5,0.8,1.0,10.0,5,0.12957839063194113,16,False
__POOL__,21,walk_forward,GFC,True,0.1,5,1.0,0.8,1.0,1,0.13135251572834597,15,False
__POOL__,21,walk_forward,GFC,True,0.1,5,1.0,0.8,1.0,5,0.13263969240299858,10,False
__POOL__,21,walk_forward,GFC,True,0.1,5,1.0,0.8,5.0,1,0.1321144253725198,12,False
__POOL__,21,walk_forward,GFC,True,0.1,5,1.0,0.8,5.0,5,0.13251714630508346,10,False
__POOL__,21,walk_forward,GFC,True,0.1,5,1.0,0.8,10.0,1,0.13115330450669485,20,False
__POOL__,21,walk_forward,GFC,True,0.1,5,1.0,0.8,10.0,5,0.13002843171778813,24,False
__POOL__,21,walk_forward,GFC,True,0.1,5,1.0,1.0,1.0,1,0.13074914105318078,14,False
__POOL__,21,walk_forward,GFC,True,0.1,5,1.0,1.0,1.0,5,0.1302236349873346,14,False
__POOL__,21,walk_forward,GFC,True,0.1,5,1.0,1.0,5.0,1,0.12833922644921794,13,False
__POOL__,21,walk_forward,GFC,True,0.1,5,1.0,1.0,5.0,5,0.13111352527494363,14,False
__POOL__,21,walk_forward,GFC,True,0.1,5,1.0,1.0,10.0,1,0.12930687593297957,26,False
__POOL__,21,walk_forward,GFC,True,0.1,5,1.0,1.0,10.0,5,0.13171001318795367,18,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,3,0.8,0.8,1.0,1,0.11120311653918179,238,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,3,0.8,0.8,1.0,5,0.11105174270077212,238,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,3,0.8,0.8,5.0,1,0.11178778734553171,268,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,3,0.8,0.8,5.0,5,0.11194471885815091,234,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,3,0.8,0.8,10.0,1,0.11158894617631518,352,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,3,0.8,0.8,10.0,5,0.1118808898565636,289,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,3,0.8,1.0,1.0,1,0.11011726210799365,234,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,3,0.8,1.0,1.0,5,0.11019234121935882,234,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,3,0.8,1.0,5.0,1,0.11092106676244728,323,False
__POOL__,21,walk_forward,ZIRP_early,True,0.01,3,0.8,1.0,5.0,5,0.11102575816132887,260,False
