security,horizon,scheme,fold,use_categoricals,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected
__POOL__,252,walk_forward,GFC,True,0.01,3,0.8,0.8,1.0,1,2.0192448129286444,500,False
__POOL__,252,walk_forward,GFC,True,0.01,3,0.8,0.8,1.0,5,2.018176867075266,499,False
__POOL__,252,walk_forward,GFC,True,0.01,3,0.8,0.8,5.0,1,2.044603306640334,500,False
__POOL__,252,walk_forward,GFC,True,0.01,3,0.8,0.8,5.0,5,2.055449756228236,499,False
__POOL__,252,walk_forward,GFC,True,0.01,3,0.8,0.8,10.0,1,2.0601792751688475,499,False
__POOL__,252,walk_forward,GFC,True,0.01,3,0.8,0.8,10.0,5,2.0634243713781095,499,False
__POOL__,252,walk_forward,GFC,True,0.01,3,0.8,1.0,1.0,1,2.051489854376207,500,False
__POOL__,252,walk_forward,GFC,True,0.01,3,0.8,1.0,1.0,5,2.0564766968329637,500,False
__POOL__,252,walk_forward,GFC,True,0.01,3,0.8,1.0,5.0,1,2.3557296888409476,188,False
__POOL__,252,walk_forward,GFC,True,0.01,3,0.8,1.0,5.0,5,2.3557296888409476,188,False
__POOL__,252,walk_forward,GFC,True,0.01,3,0.8,1.0,10.0,1,2.3828842544058335,188,False
__POOL__,252,walk_forward,GFC,True,0.01,3,0.8,1.0,10.0,5,2.3828842544058335,188,False
__POOL__,252,walk_forward,GFC,True,0.01,3,1.0,0.8,1.0,1,2.0292548116035,500,False
__POOL__,252,walk_forward,GFC,True,0.01,3,1.0,0.8,1.0,5,2.0329458272391983,500,False
__POOL__,252,walk_forward,GFC,True,0.01,3,1.0,0.8,5.0,1,2.028719928618369,500,False
__POOL__,252,walk_forward,GFC,True,0.01,3,1.0,0.8,5.0,5,2.032682334182785,500,False
__POOL__,252,walk_forward,GFC,True,0.01,3,1.0,0.8,10.0,1,2.016539818896524,500,False
__POOL__,252,walk_forward,GFC,True,0.01,3,1.0,0.8,10.0,5,2.0146245620522967,500,False
__POOL__,252,walk_forward,GFC,True,0.01,3,1.0,1.0,1.0,1,2.0648713674996624,497,False
__POOL__,252,walk_forward,GFC,True,0.01,3,1.0,1.0,1.0,5,2.068584441767692,500,False
__POOL__,252,walk_forward,GFC,True,0.01,3,1.0,1.0,5.0,1,2.063713312412248,498,False
__POOL__,252,walk_forward,GFC,True,0.01,3,1.0,1.0,5.0,5,2.0638339005096666,500,False
__POOL__,252,walk_forward,GFC,True,0.01,3,1.0,1.0,10.0,1,2.0703144064098424,500,False
__POOL__,252,walk_forward,GFC,True,0.01,3,1.0,1.0,10.0,5,2.0746857788941893,500,False
__POOL__,252,walk_forward,GFC,True,0.01,5,0.8,0.8,1.0,1,2.13405989430841,225,False
__POOL__,252,walk_forward,GFC,True,0.01,5,0.8,0.8,1.0,5,2.1434928809733798,204,False
__POOL__,252,walk_forward,GFC,True,0.01,5,0.8,0.8,5.0,1,2.1097490975313145,238,False
__POOL__,252,walk_forward,GFC,True,0.01,5,0.8,0.8,5.0,5,2.0967319023633957,235,False
__POOL__,252,walk_forward,GFC,True,0.01,5,0.8,0.8,10.0,1,2.0660466916373323,233,False
__POOL__,252,walk_forward,GFC,True,0.01,5,0.8,0.8,10.0,5,2.0621532062921166,263,False
__POOL__,252,walk_forward,GFC,True,0.01,5,0.8,1.0,1.0,1,2.086188728340861,223,False
__POOL__,252,walk_forward,GFC,True,0.01,5,0.8,1.0,1.0,5,2.0871435029241368,192,False
__POOL__,252,walk_forward,GFC,True,0.01,5,0.8,1.0,5.0,1,2.0335850224432943,225,False
__POOL__,252,walk_forward,GFC,True,0.01,5,0.8,1.0,5.0,5,2.0389928868392833,192,False
__POOL__,252,walk_forward,GFC,True,0.01,5,0.8,1.0,10.0,1,1.9996270713562296,243,False
__POOL__,252,walk_forward,GFC,True,0.01,5,0.8,1.0,10.0,5,2.013145177672197,244,False
__POOL__,252,walk_forward,GFC,True,0.01,5,1.0,0.8,1.0,1,2.13452867918008,240,False
__POOL__,252,walk_forward,GFC,True,0.01,5,1.0,0.8,1.0,5,2.041214310868516,500,False
__POOL__,252,walk_forward,GFC,True,0.01,5,1.0,0.8,5.0,1,2.078022486503029,238,False
__POOL__,252,walk_forward,GFC,True,0.01,5,1.0,0.8,5.0,5,2.0828471699363504,238,False
__POOL__,252,walk_forward,GFC,True,0.01,5,1.0,0.8,10.0,1,2.0416643429895918,241,False
__POOL__,252,walk_forward,GFC,True,0.01,5,1.0,0.8,10.0,5,2.011865785514426,242,False
__POOL__,252,walk_forward,GFC,True,0.01,5,1.0,1.0,1.0,1,2.047044088063741,229,False
__POOL__,252,walk_forward,GFC,True,0.01,5,1.0,1.0,1.0,5,2.0526949379297053,219,False
__POOL__,252,walk_forward,GFC,True,0.01,5,1.0,1.0,5.0,1,2.011401301069692,216,False
__POOL__,252,walk_forward,GFC,True,0.01,5,1.0,1.0,5.0,5,2.004436687215768,222,False
__POOL__,252,walk_forward,GFC,True,0.01,5,1.0,1.0,10.0,1,2.0128453460490583,234,False
__POOL__,252,walk_forward,GFC,True,0.01,5,1.0,1.0,10.0,5,2.0086854565995367,238,False
__POOL__,252,walk_forward,GFC,True,0.05,3,0.8,0.8,1.0,1,1.934580745872921,203,False
__POOL__,252,walk_forward,GFC,True,0.05,3,0.8,0.8,1.0,5,1.916516661743967,211,False
__POOL__,252,walk_forward,GFC,True,0.05,3,0.8,0.8,5.0,1,1.9755559731461372,150,False
__POOL__,252,walk_forward,GFC,True,0.05,3,0.8,0.8,5.0,5,1.932382879785241,216,False
__POOL__,252,walk_forward,GFC,True,0.05,3,0.8,0.8,10.0,1,1.9354709409850765,262,False
__POOL__,252,walk_forward,GFC,True,0.05,3,0.8,0.8,10.0,5,1.9599884188416354,182,False
__POOL__,252,walk_forward,GFC,True,0.05,3,0.8,1.0,1.0,1,1.954549960166994,213,False
