security,horizon,scheme,fold,use_categoricals,ntrees,depth,tau_w,xgb_max_depth,xgb_lr,xgb_subsample,xgb_colsample,xgb_reg_lambda,xgb_min_child_weight,importance_type,feature,relevance
__POOL__,252,walk_forward,GFC,True,312,5,,5,0.1,1.0,0.8,10.0,1,gain,chg_lag1,0.11299757659435272
__POOL__,252,walk_forward,GFC,True,312,5,,5,0.1,1.0,0.8,10.0,1,gain,chg_lag2,0.4690927565097809
__POOL__,252,walk_forward,GFC,True,312,5,,5,0.1,1.0,0.8,10.0,1,gain,chg_lag3,0.11465770751237869
__POOL__,252,walk_forward,GFC,True,312,5,,5,0.1,1.0,0.8,10.0,1,gain,chg_lag4,0.7945947051048279
__POOL__,252,walk_forward,GFC,True,312,5,,5,0.1,1.0,0.8,10.0,1,gain,chg_lag5,0.10085732489824295
__POOL__,252,walk_forward,GFC,True,312,5,,5,0.1,1.0,0.8,10.0,1,gain,carry_roll,75.17313385009766
__POOL__,252,walk_forward,GFC,True,312,5,,5,0.1,1.0,0.8,10.0,1,gain,mom_63d,3.2903518676757812
__POOL__,252,walk_forward,GFC,True,312,5,,5,0.1,1.0,0.8,10.0,1,gain,mom_1m,0.6853720545768738
__POOL__,252,walk_forward,GFC,True,312,5,,5,0.1,1.0,0.8,10.0,1,gain,mom_3m,5.2593488693237305
__POOL__,252,walk_forward,GFC,True,312,5,,5,0.1,1.0,0.8,10.0,1,gain,mom_6m,23.404247283935547
__POOL__,252,walk_forward,GFC,True,312,5,,5,0.1,1.0,0.8,10.0,1,gain,mom_12m,35.88966369628906
__POOL__,252,walk_forward,GFC,True,312,5,,5,0.1,1.0,0.8,10.0,1,gain,dev_ma_3m,8.407105445861816
__POOL__,252,walk_forward,GFC,True,312,5,,5,0.1,1.0,0.8,10.0,1,gain,dev_ma_12m,41.24733352661133
__POOL__,252,walk_forward,GFC,True,312,5,,5,0.1,1.0,0.8,10.0,1,gain,vol_20d,2.5441603660583496
__POOL__,252,walk_forward,GFC,True,312,5,,5,0.1,1.0,0.8,10.0,1,gain,vol_regime,0.3226955235004425
__POOL__,252,walk_forward,GFC,True,312,5,,5,0.1,1.0,0.8,10.0,1,gain,vol_zscore,1.5181058645248413
